"holder","segment","licenses","mining_lics","hectares","main_commodities","lics_in_default_2025"
"Black Impala Resources Limited","gemstones","1","0","42313","Malachite/Limestone (General)/Lead","0"
"Blinkasset Enterprises Limited","gemstones","1","0","555","Nickel/Manganese/Zinc","0"
"BLS Mining Limited","critical_battery","2","0","1649","Lead/Manganese/Zinc","0"
"Blue Desert Engineering Consultancy Limited","critical_battery","1","0","658","Manganese/Quartz/Zinc","1"
"Blueware Investments Limited","critical_battery","1","0","995","Iron Ore/Manganese/Gold","1"
"BNV Holdings Limited","critical_battery","1","0","871","Iron Ore/Manganese/Zinc","0"
"Bomal Mining & Agriculture Enterprises Limited","gemstones","2","0","1369","Tin/Tourmaline/Tungsten","0"
"BOMAS Mining Cooperative Society","gemstones","1","1","7","Silver/Tourmaline/Gold","0"
"BOMBA ULYA MINING COOPERATIVE SOCIETY LIMITED","gemstones","1","1","7","Quartz/Sugilite/Tourmaline","1"
"Bonita Logistics Limited","gold","1","0","67","Quartz/Silica/Silver","1"
"BONSE MINING LIMITED","critical_battery","1","0","36389","Quartz/Manganese/Zinc","1"
"Bonum Investments Limited","gemstones","1","0","532","Emerald","0"
"Brand Equity Limited","critical_battery","1","0","476","Manganese/Nickel/Gold","1"
"Brick Smart Zambia Investment Limited","gemstones","1","0","15457","Lead/Iron Ore/Manganese","0"
"Brilliant Exploration and Mining Limited","gemstones","1","0","2677","Silica/Quartz/Manganese","1"
"Brinewlam Mining Limited","gemstones","1","0","872","Manganese/Quartz/Iron Ore","1"
"Broken Hill Merchants Limited","critical_battery","1","0","3055","Nickel/Silver/Zinc","0"
"Bruhati Mining and Minerals Limited","critical_battery","1","1","50","Manganese","1"
"Bubanji Resources Limited","gold","1","1","20","Gold","1"
"Buffalo Hill Investments Limited","critical_battery","1","0","29780","Silver/Manganese/Zinc","0"
"Build Gene Mining and Construction Limited","gemstones","1","1","144","Manganese/Tourmaline/Gold","1"
"BuildFreca Construction Limited","critical_battery","1","0","45791","Gold/Nickel/Cobalt","1"
"Bukema Mining Limited","gemstones","1","0","943","Manganese/Iron Ore/Quartz","1"
"Bulongo Mining Zambia Limited","gemstones","1","0","532","Titanium/Tourmaline/Tungsten","0"
"Buneme Multi-Purpose Cooperative Society Limited","gold","1","1","7","Iron Ore/Lead/Silver","0"
"Busanya Mining Limited","gemstones","2","0","309","Manganese/Copper/Cobalt","0"
"Bwesu Ubunonshi Multi-Purpose Cooperative Society Limited","critical_battery","1","1","7","Tantalum/Tin/Rare EarthsElements","0"
"Bwino Mining Limited","gemstones","1","0","120","Lead/Iron Ore/Zinc","1"
"Cabral Mining Minerals Limited","critical_battery","1","0","8712","Manganese/Silver/Zinc","0"
"Caingu Gem Mines Lapidary Limited","gemstones","1","0","195","Rare EarthsElements/Tantalum/Tin","0"
"Camland Construction Limited","gold","1","0","81662","Gold/Zinc/Cobalt","1"
"Careys Health Services Limited","critical_battery","1","0","7920","Manganese/Silica/Copper","1"
"Carly Prints International Limited","critical_battery","1","0","1801","Manganese/Nickel/Rare EarthsElements","0"
"CBK Holding and Mineral Resources Limited","gemstones","1","0","16398","Manganese/Mica/Limestone (General)","0"
"CCGM Geology and Mining (Z) Ltd","critical_battery","1","0","85678","Manganese/Gold/Copper","0"
"Central Africa Renewable Energy Corporation Limited","critical_battery","1","0","34181","Nickel/Uranium/Zinc","1"
"Central Province Co-operative Union Limited","critical_battery","1","1","7","Manganese/Lead/Zinc","1"
"Central Youth Muilt Purpose Cooperative Society Limited","critical_battery","1","1","7","Zinc/Manganese/Lead","1"
"Centralpit Learn Multi-purpose Co-operative Society Limited","critical_battery","1","1","7","Silica/Graphite","0"
"Chakam Mining Limited","critical_battery","1","0","962","Platinum/Manganese/Silver","0"
"Chaka's Mining and Suppliers Limited","gemstones","1","1","91","Quartz/Aquamarine/Amethyst","0"
"Chakumbila Mining Co-operative Society Limited","gold","1","1","7","Iron Ore/Gold/Copper","0"
"Chakumbila Multi-Purpose Co-operative Society Limited","gold","1","1","7","Iron Ore/Gold/Copper","0"
"CHAKWANGA MULTI PURPOSE COOPERATION SOCIETY LIMITED","critical_battery","1","1","7","Gold/Manganese/Cobalt","0"
"Chalemba Investments Limited","gemstones","3","0","1219","Iron Ore/Lithium/Copper","2"
"Chamat Suppliers and General Dealers Limited","critical_battery","1","0","834","Nickel/Silver/Zinc","1"
"Chambishi Milling Company Limited","critical_battery","2","0","7193","Iron Ore/Manganese/Silver","2"
"Chambre Mining Company Limited","gemstones","1","0","4898","Nickel/Gold/Zinc","0"
"Champalesa Nemwine Multi-Purpose Co-operative Limited","gemstones","1","1","2","Gold/Mineral Sands/Amethyst","1"
"Chamula Resources Limited","gold","1","0","1747","Gold/Copper/Barium-Barite","1"
"Changa Mining Limited","critical_battery","1","0","36386","Iron Ore/Manganese/Gold","0"
"Chanosi Enterprises and General Dealers Limited","gemstones","1","0","107","Mica/Nickel/Limestone (General)","0"
"Chao Chao Construction Limited","gemstones","2","0","2098","Tin/Tantalum/Copper","1"
"Chao Chikupi Mining Cooperative","gold","1","1","7","Gold/Copper/Cobalt","1"
"CHARFIN INVESTMENT LIMITED","gemstones","1","0","4730","Gold/Iron Ore/Silver","0"
"Chau Ubuntu Multi- Purpose Co-operative Limited","gemstones","1","1","7","Iron Ore/Anhydrite/Gypsum","1"
"Chavuma Mineral Resources Limited","gemstones","1","0","1075","Anhydrite/Gypsum/Gold","1"
"Chazychilz Investments Limited","gemstones","3","0","1043","Gold/Iron Ore/Copper","2"
"Cheban Mining Limited","gold","1","0","761","Palladium/Silver/Gold","1"
"Chem Mining Limited","gold","2","0","12020","Gold/Copper/Anhydrite","1"
"Chema Mining Limited","gemstones","1","0","120","Emerald","1"
"Chengde Mining Limited","critical_battery","1","1","13","Lead/Iron Ore/Manganese","1"
"Chereb Investment Limited","gold","1","0","40583","Lead/Silver/Zinc","1"
"Cherery Mining Company Limited","critical_battery","1","0","949","Manganese/Nickel/Iron Ore","1"
"Chesu Mining Limited","gemstones","1","0","386","Manganese/Iron Ore/Silver","0"
"Chetu Multi-Purpose Co-Operative Society Limited","gemstones","1","1","7","Silver/Quartz/Nickel","1"
"Chiba World Link Zambia Limited","gemstones","1","0","379","Granite/Graphite/Fluorine-Fluorite","1"
"Chibilika Mines Limited","gemstones","1","0","951","Magnesium (Brucit)/Iron Ore/Quartz","0"
"Chido's Civil Engineering Limited","critical_battery","1","0","2634","Quartz/Rare EarthsElements/Nickel","1"
"Chidunkulu  Resources Limited","gemstones","2","0","5026","Lead/Manganese/Gold","2"
"Chifwala Mabula Small Mines Company Limited","gemstones","1","0","56","Emerald/Beryllium","1"
"CHIHAFE MULTI PURPOSE  CO-OPERATIVE","critical_battery","1","1","7","Manganese/Rhodium/Gold","1"
"Chikaban Corporation Zambia Limited","critical_battery","1","0","48918","Iron Ore/Manganese/Gold","0"
"Chikonka copper mines Limited","gemstones","1","0","23","Malachite/Iron Ore/Manganese","0"
"Chilibwino Investment Limited","gemstones","1","0","570","Manganese/Rare EarthsElements/Lead","0"
"Chilindi Investment Limited","critical_battery","1","0","993","Iron Ore/Manganese/Copper","1"
"Chimanabubwe Business Enterprises Limited","critical_battery","1","0","40","Iron Ore/Manganese/Gold","1"
"Chimban  Investments Limited","gemstones","1","0","18124","Lithium/Iron Ore/Gold","1"
"Chimetal Zambia Limited","critical_battery","1","1","50","Manganese","1"
"Chimwelelende Mining Cooperative LTD","gold","1","1","7","Mineral Sands/Quartz/Gold","1"
"Chimwelelende Mining Cooperative Society Limited","gemstones","1","1","7","Quartz/Sand and Gravel/Granite","1"
"China Hainan Zambia Limited","gemstones","1","0","108918","Quartz/Lithium/Iron Ore","1"
"China Zhong Yuan International Limited","critical_battery","2","0","1136","Manganese/Silver/Lead","2"
"Chindende Chindende Mineral Company Limited","critical_battery","1","0","28273","Gold/Manganese/Cobalt","0"
"Chipanshya Construction Limited; Chipanshya Construction Limited","critical_battery","2","0","1869","Gold/Copper/Cobalt","1"
"CHIPELWA GENERAL DEALERS LIMITED","critical_battery","1","0","21643","Nickel/Malachite/Zinc","0"
"Chipepo Aquaculture and Tourism Enterprise Limited","critical_battery","2","0","6728","Gold/Copper/Manganese","1"
"Chipmonic General Dealers Limited","critical_battery","1","0","885","Nickel/Silver/Gold","1"
"Chisaka Estates Limited","critical_battery","1","0","211","Nickel/Silver/Zinc","1"
"Chisokota Multi-purpose Co-operative Society Limited","critical_battery","1","1","7","Lead/Manganese/Zinc","1"
"CHISUMA MINING LIMITED","gemstones","1","1","108","Emerald","1"
"Chisungusho Investments Limited","critical_battery","2","0","1991","Silver/Quartz/Gold","2"
"Chisunka Mining and Natural Resources Foundation Limited","critical_battery","1","0","101","Lead/Manganese/Silver","1"
"Chitoshi Chiefdom Mineral Resources Limited","critical_battery","1","0","2023","Iron Ore/Manganese/Copper","1"
"Chitubula Investments Limited","gemstones","2","0","7638","Gold/Nickel/Copper","1"
"Chizam Explosives and Mining Limited","critical_battery","1","0","92","Sand/Quartz/Silver","0"
"Choice Minerals Limited","gold","1","0","8166","Iron Ore/Silver/Zinc","1"
"CHOOLWE INVESTMENT LIMITED","gold","1","1","7","Silver/Gold/Copper","0"
"Chrispar Mines Limited","gemstones","1","0","400","Aquamarine","0"
"Chrizo General Dealers Limited","critical_battery","2","0","12943","Copper/Cobalt/Limestone (General)","0"
"Chumwe Mining Limited","gemstones","1","1","91","Emerald/Beryllium","1"
"Chun Chun Mining Zambia Limited","gemstones","1","0","446","Garnet/Quartz/Fluorine-Fluorite","1"
"Chuvubwe Mining Limited","gemstones","1","0","119","Quartz/Emerald/Beryllium","0"
"Cipembele Exploration and Mining Services Limited","gemstones","1","0","329","Lead/Nickel/Silver","0"
"City Junction Limited","critical_battery","1","0","16366","Manganese/Silver/Zinc","1"
"CJZ Mineral Resources Limited","critical_battery","1","0","15167","Quartz/Nickel/Silver","0"
"Classic Future Development Company Limited","gold","1","1","7","Gold","1"
"Clestep General Dealers Limited","gemstones","1","0","448","Gold/Lead/Zinc","0"
"Clestmark Investment Limited","gemstones","1","0","14514","Lead/Iron Ore/Manganese","0"
"Closet Enterprises Limited","critical_battery","1","0","86","Manganese/Silver/Gold","1"
"CLS World Link Limited","gemstones","1","0","29302","Niobium (Columbium)/Nickel/Manganese","1"
"CMRB Civil Service  and Consultancy Limited","critical_battery","2","0","10561","Nickel/Lithium/Quartz","2"
"Collussion Mining Co-cooperative Society Limited","gemstones","1","1","7","Manganese/Lithium/Lead","0"
"Compstat Limited","gemstones","1","0","1425","Quartz/Manganese/Tantalum","1"
"Copper Zone Resources Ltd","critical_battery","1","0","7147","Rare EarthsElements/Manganese/Uranium","0"
"Copperbelt University Investments Holdings Limited","critical_battery","2","0","8242","Manganese","0"
"Cornerstone Resources Mining & Explorations Limited","critical_battery","1","0","7175","Gold/Manganese/Silver","1"
"CQL Investments Zambia Limited","gemstones","2","0","7165","Copper/Cobalt/Coal","0"
"Cynatra Trading Limited","gemstones","1","0","499","Manganese/Lithium/Quartz","1"
"Cz Environmental Solutions Limited","gemstones","2","0","13499","Quartz/Precious Gems/Rare EarthsElements","2"
"D.M Transport & Logistics Limited","gemstones","2","0","2344","Rare EarthsElements/Quartz/Manganese","1"
"Dalmar Investments Limited","gold","1","1","7","Gold/Copper","0"
"Dam Carriers And Logistics Zambia Limited","gemstones","1","0","19336","Rare EarthsElements/Lithium/Zinc","1"
"damashi resources limited.","gemstones","1","0","3141","Limestone (General)/Iron Ore/Quartz","0"
"Darijo Mining Limited","gemstones","1","0","269","Gold/Gemstones/Malachite","0"
"Daron Mining and Exploration Limited","gemstones","1","0","13","Garnet/Emerald/Gold","0"
"Datong Industry Corporation Limited","critical_battery","1","0","65884","Iron Ore/Manganese/Copper","0"
"David Chikopa Enterprises","gold","1","1","7","Iron Ore/Lead/Zinc","1"
"DAWOOD GEMS AND JEWELRY LIMITED","gemstones","1","0","15651","Lead/Iron Ore/Manganese","0"
"Daxing Mining Company Limited","critical_battery","1","1","13","Manganese","1"
"Daylight Technologies Zambia Limited","gemstones","1","0","10556","Niobium (Columbium)/Manganese/Silver","1"
"Dcvictory Investements Limited","critical_battery","1","0","14119","Manganese/Lead/Zinc","0"
"Dee Bees Store Limited","gemstones","1","0","20","Limestone (General)/Iron Ore/Anhydrite","0"
"Dekalb General Dealers Limited","critical_battery","1","0","133","Malachite/Nickel/Gold","1"
"Delta Electrical Work and Suppliers Limited","gold","1","0","439","Gold/Iron Ore/Cobalt","0"
"Delta-Zone Mining & Exploration Limited","gemstones","1","0","951","Nickel/Manganese/Quartz","0"
"Denny Nyoni Enterprise Limited","industrial_minerals","1","0","167","Quartz/Sand and Gravel/Stone","1"
"Des Export Zambia Limited","gold","1","1","10","Gold","1"
"Devaberakhah Mining Zambia Limited","gemstones","1","0","13346","Nickel/Lead/Zinc","0"
"Diakite Minerals Purple Gem Limited","gemstones","1","1","134","Tantalum/Tin/Zinc","1"
"Diars Mining Limited","gemstones","1","0","42610","Manganese/Limestone (General)/Iron Ore","1"
"Dias Minerals Mining Company Limited","critical_battery","1","0","4516","Mica/Iron Ore/Silver","0"
"Dibri Investment Limited","gemstones","1","0","401","Lithium/Manganese/Lead","1"
"DIGI MINERALS MULTI-PURPOSE COOPERATIVE","gold","1","1","7","Gold","0"
"Digidrill Exploration Resources Limited","critical_battery","1","0","9665","Manganese/Malachite/Quartz","0"
"DINOEL INVESTMENTS LIMITED","critical_battery","1","0","948","Iron Ore/Manganese/Zinc","0"
"DINS Ventures Limited","gemstones","2","0","7427","Coal/Lithium/Mica","0"
"Distinction Work Wear Garments Limited","critical_battery","1","0","110","Manganese/Zinc/Gold","0"
"Diverse Minerals Limited","gemstones","1","0","29681","Silver/Nickel/Manganese","0"
"Diversity Metal Limited","critical_battery","1","0","530","Nickel/Silver/Gold","1"
"Divine Mimuvelyn Mining and Exploration Company  Limited","critical_battery","3","0","1006","Lead/Manganese/Silver","3"
"DONOVAN MINERAL RESOURCES ZAMBIA LIMITED","critical_battery","1","0","19315","Iron Ore/Manganese/Uranium","0"
"Double ""C"" Investments Limited","gemstones","1","1","45","Tourmaline/Emerald","1"
"Double impacty Construction Company Ltd","industrial_minerals","1","1","11","Marble/Limestone (General)","1"
"Doug Morgar Multi-Purpose Co-operative Society Limited","gemstones","1","1","3","Amethyst","0"
"Doug-Morgar Mult-Purpose Co-operative Society","gemstones","1","1","7","Tantalum/Tin/Amethyst","0"
"DPKF Commercial Limited","gold","1","1","7","Gold/Copper","1"
"Dr Ice Enterprise Limited","gemstones","1","0","3299","Manganese/Tourmaline/Zinc","1"
"Drift Mining Limited","gold","1","0","43964","Gold/Silver/Cobalt","1"
"Drip Engineering and Construction Limited","critical_battery","1","0","569","Iron Ore/Nickel/Copper","0"
"DRM Limited","gemstones","1","1","104","Emerald/Beryllium","1"
"Dukim Mineral Resources Limited","gemstones","1","0","401","Tourmaline/Zinc/Copper","1"
"DZ Trading and Logistics Company Limited","gold","1","1","13","Gold/Copper","1"
"EAGLES HOLDINGS LIMITED","gemstones","1","0","3604","Niobium (Columbium)/Nickel/Molybdenum","0"
"Earthshine Mining Corporation Limited","critical_battery","2","0","9749","Copper/Gold/Niobium (Columbium)","0"
"Easiearth Resources Limited","critical_battery","1","0","21849","Limestone (General)/Lithium/Manganese","1"
"Eastern Granites Limited","gold","2","0","15082","Limestone (General)/Gold/Amazonite","1"
"EASTNET MULTI-PURPOSE CO-OPERATIVE SOCIETY LIMITED","gemstones","1","1","7","Nickel/Anhydrite/Zinc","0"
"East-Tech Investments Limited","critical_battery","1","0","912","Tin/Coal","1"
"ECM PROPERTY GROUP LIMITED","critical_battery","1","0","10303","Malachite/Nickel/Zinc","0"
"ECO MINING CO-OPERATIVE SOCIETY LIMITED","gold","1","1","7","Iron Ore/Silver/Zinc","0"
"Ecomine Exploration Company Limited","gemstones","2","0","992","Copper/Iron Ore/Tantalum","0"
"ECOSAN Development and Trading Limited","gemstones","1","0","982","Mica/Gold/Tantalum","1"
"Ecotrade Resources Limited","critical_battery","1","0","22523","Granite/Manganese/Silver","0"
"EKAA Hrim Earth Resources Minerals and Management Limited","critical_battery","1","0","4351","Nickel/Manganese/Zinc","1"
"EKS Mining International Limited","gemstones","1","1","24","Emerald","1"
"EKS Mining International Ltd","gemstones","1","1","150","Emerald/Beryllium","1"
"Elatis Investements Limited","critical_battery","1","0","249","Manganese/Quartz/Silver","1"
"Elikace Mining Limited","gold","1","0","174","Gold/Copper","0"
