"holder","segment","licenses","mining_lics","hectares","main_commodities","lics_in_default_2025"
"Evergreat Investment Company Limited","industrial_minerals","1","0","1237","Limestone (General)/Granite/Dolomite","0"
"Expat Management Services Limited","critical_battery","1","0","892","Quartz/Nickel/Zinc","0"
"Ezed Mines Limited","critical_battery","1","0","1689","Nickel/Silver/Zinc","1"
"Ezra Energy Limited","critical_battery","1","0","4726","Silver/Rare EarthsElements/Tin","0"
"Fahrenheit Twenty Four Limited","gemstones","2","0","12185","Gold/Iron Ore/Cobalt","0"
"Fair People Multi-Purpose Cooperative Society Limited","gemstones","1","1","7","Coal/Cobalt/Citrine","1"
"Falling Star Investments Limited","gold","1","0","4488","Molybdenum/Platinum/Uranium","0"
"Family Industries Mining Company Limited","critical_battery","1","0","2520","Iron Ore/Gold/Nickel","1"
"Fanamu Mining Company","gold","1","1","155","Silver/Gold/Copper","0"
"Faren Mining and Metalllurgy Zambia Company Limited","gold","1","1","33","Gold/Copper","1"
"FEDAR INVESTMENT COMPANY LIMITED","gemstones","2","0","1336","Coal/Amethyst/Granite","0"
"Feliz Mineral Resources Limited","critical_battery","2","0","9638","Iron Ore/Lead/Gold","0"
"Fertilizer Commodities (Z) Limited","gold","1","0","1512","Gold/Iron Ore/Cobalt","1"
"FIERCE DRAGON INVESTMENT LIMITED","critical_battery","2","0","1382","Tungsten/Tin/Niobium (Columbium)","0"
"Firestone Mining Limited","gemstones","1","1","112","Emerald/Beryllium","0"
"Fisanamano Multi-Purpose Co-operative Society Limited","critical_battery","1","1","7","Manganese/Gold/Copper","1"
"Fitole Gem Mines Limited","gemstones","1","1","74","Emerald","0"
"Fitwama Mining Cooperative Society","gemstones","1","1","45","Emerald","0"
"FiveWood Mining International Limited","gemstones","1","0","92","Emerald/Beryllium","0"
"Fleissig Investments Company Limited","critical_battery","1","0","8511","Tantalum/Niobium (Columbium)/Tungsten","0"
"Fleuve Stones Limited","gemstones","1","1","99","Quartz/Tourmaline/Amazonite","1"
"Flow Valve Limited","gemstones","2","0","1311","Gold/Manganese/Zinc","2"
"Flying Lion Mining Company Limited","gemstones","2","0","1805","Manganese/Malachite/Nickel","0"
"Formula Minerals and General Supplies Company Limited","critical_battery","1","0","7015","Manganese/Malachite/Nickel","0"
"Founded Business Trust Holdings Zambia Limited","critical_battery","1","1","13","Lead/Iron Ore/Manganese","1"
"Founded Business Trust Refineries Zambia Limited","gold","1","1","7","Gold","1"
"Fouta Mining Limited","gemstones","2","0","1798","Iron Ore/Lead/Manganese","0"
"Franciscan Mineals Zambia Limited","gemstones","1","1","120","Emerald/Beryllium","1"
"Frank Shewitt Enterprises Limited","gemstones","1","0","75","Amethyst","1"
"Fransia Investments Limited","critical_battery","1","0","40","Manganese/Silver/Zinc","0"
"Freeway Minerals Limited","gemstones","2","0","866","Copper/Cobalt/Tourmaline","1"
"Freshpoint Mining Enterprises & General Suppliers Limited","gemstones","2","0","1300","Gold/Copper/Amethyst","2"
"Freshstart Emerald Mining Limited","gemstones","2","0","1820","Limestone (General)/Anhydrite/Tourmaline","1"
"Fromlight Investments Limited","gold","1","1","7","Gold","1"
"Frontier Generations Limited","gemstones","1","0","56706","Gold/Quartz/Emerald","1"
"Fu Da Resource Management Limited","critical_battery","1","0","8348","Manganese/Zinc/Gold","1"
"Fulgent Mining Limited","critical_battery","1","0","4257","Lithium/Silver/Gold","1"
"G & G National Wide Mining Zambia Limited","gemstones","1","0","102364","Silver/Talc-Soapstone/Quartz","1"
"G & G National Wide Zambia Ltd","gemstones","1","1","113","Emerald/Beryllium","1"
"Gabmans Limited","gemstones","1","1","90","Emerald/Beryllium","0"
"Gadiel Mining Limited","gold","1","0","1835","Silver/Zinc/Gold","1"
"GALHARUR INVESTMENT LIMITED","gold","1","1","10","Gold","1"
"Ganitlines Zambia Limited","critical_battery","1","0","362","Limestone (General)/Iron Ore/Silver","1"
"GANUNA MINERALS LIMITED","gold","1","0","45429","Quartz/Zinc/Gold","0"
"Garba Trading Limited","gemstones","1","0","47","Emerald/Beryllium","1"
"Garbo Resource Zambia Limited","critical_battery","1","0","9324","Nickel/Lead/Zinc","0"
"Garuda Resources Limited","gemstones","3","0","159","Manganese/Iron Ore/Quartz","3"
"Gateway Express Logistics Limited","gold","1","1","7","Gold","1"
"Geejoyblo Mining Company Limited","critical_battery","2","0","528","Nickel/Manganese/Zinc","2"
"Gehaanto Enterprises Limited","gemstones","1","0","1278","Silver/Tourmaline/Iron Ore","0"
"Geljam Mineral Company Limited","critical_battery","1","0","956","Manganese/Limestone (General)/Tin","1"
"Gem Link Africa Limited","critical_battery","1","0","195","Nickel/Quartz/Silver","1"
"Gemgarden Mining Limited","gemstones","1","1","135","Emerald/Garnet/Amethyst","1"
"GEO HUB ENTERPRISE LIMITED","gold","1","1","7","Gold/Copper","0"
"Geofreight Clearing, Forwarding and Trucking Limited","critical_battery","2","0","2415","Manganese/Silver/Tin","0"
"GEO-LOGIC RESOURCES ZAMBIA LIMITED","gemstones","1","0","21682","Gold/Tourmaline/Zinc","0"
"Geonatics Investment Limited","gemstones","2","0","3529","Tin/Tantalum/Quartz","0"
"Gertina Mines Limited","gemstones","1","1","51","Emerald/Beryllium","1"
"Gesso Mining & Investment Lilmited","industrial_minerals","1","0","8064","Anhydrite/Gypsum","0"
"Gesta Mines Limited","critical_battery","1","0","290","Manganese/Lithium/Zinc","1"
"Ghoso Mining Hub Limited","critical_battery","1","0","932","Lead/Manganese/Silver","0"
"Giant Plus Limited","gold","1","0","2004","Silver/Zinc/Gold","0"
"Giant Rock Mining Limited","gemstones","1","0","2519","Malachite/Lead/Nickel","1"
"Giemme Zambia Limited","gemstones","3","0","314","Silver/Quartz/Silica","1"
"Giltyra Investements Limited","gold","1","0","67","Gold/Copper/Cobalt","0"
"Given Resources Limited","critical_battery","1","0","523","Manganese","1"
"Glajo Vision Limited","gemstones","1","0","378","Manganese/Iron Ore/Quartz","0"
"Glemo Investments Limited","critical_battery","2","0","1359","Zinc/Malachite/Nickel","1"
"Global Blessing Exploration Limited","critical_battery","1","0","16916","Lithium/Nickel/Uranium","1"
"Global Culture Network Solutions","gold","1","0","583","Copper/Gold/Iron Ore","1"
"Global Mining Limited","gemstones","1","0","479","Gold/Quartz/Copper","1"
"Gold Lookers Mining Limited","critical_battery","3","0","1053","Manganese/Tin/Iron Ore","1"
"Gold tech resources zambia limited","gold","1","0","6311","Iron Ore/Limestone (General)/Gold","1"
"Gold Trap World Resources Limited","gemstones","1","0","59726","Iron Ore/Nickel/Tin","0"
"Gold Tree Investment Limited","gemstones","1","0","3585","Manganese/Limestone (General)/Quartz","0"
"Gold Tungsten Progress Africa Limited","critical_battery","1","0","397","Manganese/Lead/Zinc","1"
"Goldbelt Mining Industries Limited","critical_battery","1","0","139","Lead/Iron Ore/Graphite","0"
"Golden  Horse Investment Limited","critical_battery","1","0","4634","Iron Ore/Manganese/Copper","0"
"Golden Horse Investements Limited","critical_battery","1","0","57611","Iron Ore/Manganese/Copper","1"
"Golden King Investment Company Limited","gold","1","0","2578","Silver/Zinc/Gold","1"
"Golden Palace International Limited","industrial_minerals","1","0","20","Quartz","0"
"golden silk multi-purpose co-operative society limited","critical_battery","1","1","7","Manganese/Gold/Copper","0"
"GOLDENROCK  RESOURCES ZAMBIA LIMITED","gold","1","0","77","Iron Ore/Lead/Copper","0"
"Goldquest Resources Limited","gemstones","1","0","10290","Nickel/Mineral Sands/Sand and Gravel","1"
"Goldtec Investment Limited","base_metals","1","1","20","Copper/Cobalt","1"
"Gootal Enterprise Limited","gemstones","1","0","209","Gold/Fluorine-Fluorite/Tin","0"
"Gotrays Mining Zambia Limited","critical_battery","2","0","2410","Silver/Manganese/Zinc","1"
"Govinda Construction and Investments Limited","critical_battery","1","0","18335","Manganese/Silver/Zinc","1"
"Grand Osk Limited","gemstones","1","0","1881","Rare EarthsElements/Limestone (General)/Lead","1"
"Graspers  Multi- Purpose Co-Operative Society Limited","gold","1","1","7","Iron Ore/Lead/Zinc","1"
"Grassburg Mining Limited","critical_battery","2","0","8117","Manganese/Silver/Zinc","2"
"Green Earth Metals Limited","critical_battery","1","0","11217","Rare EarthsElements/Nickel/Zinc","1"
"Greenhub Enterprises Limited","critical_battery","1","0","12977","Manganese/Zinc/Gold","0"
"Greenvelt Mining Limited","critical_battery","1","0","965","Gold/Nickel/Cobalt","1"
"Grhhin Mine Limited","gold","1","0","13","Iron Ore/Silver/Zinc","1"
"Grhin Mine Limited","critical_battery","1","0","875","Iron Ore/Graphite/Manganese","1"
"Griffins Mining Limited","gemstones","1","0","444","Mineral Sands/Manganese/Sugilite","0"
"GRN Constructions Zambia Limited","gemstones","1","0","1228","Iron Ore/Gold/Lead","0"
"Growmax Mining Limited","critical_battery","1","0","23577","Lead/Manganese/Silver","0"
"Gulf Drilling Limited","gold","1","0","1422","Gold/Quartz/Copper","1"
"Gulf Kuwait Haulage and Mining Equipment Limited","gemstones","1","0","400","Manganese/Tin/Zinc","1"
"GULF RESOURCES INTERNATIONAL LIMITED","base_metals","1","1","7","Copper/Aluminum (Other)/Aluminum (General)","1"
"Gulnoor Mining Limited","gemstones","1","0","90","Iron Ore/Gold/Tourmaline","1"
"Gypsum Mining Limited","gemstones","1","0","3301","Gold/Gravel/Copper","0"
"H.G High Grade Resources Limited","base_metals","1","1","13","Copper/Cobalt","1"
"Habib Bey Logistics Limited","gold","1","1","7","Gold","1"
"Hachintusanmei Mineral Resources Limited","gemstones","1","0","2212","Fluorine-Fluorite/Feldspar/Tourmaline","0"
"Haizhou Mining Resources Co. Limited","gold","2","0","1104","Iron Ore/Silver/Gold","1"
"HAMBURG EXPLORATION LIMITED","gemstones","2","0","1764","Gold/Tin/Sugilite","0"
"Hamsa Resources Limited","critical_battery","2","0","7691","Gold/Silver/Cobalt","0"
"Hanfu Mining Company Limited","gemstones","2","0","6931","Gold/Silver/Copper","0"
"Hangubi General Dealers Limited","gold","1","0","3110","Gold/Silver/Cobalt","1"
"Hanuunka Mining Cooperative Society LIMITED","industrial_minerals","1","1","7","Sandstone/Stone/Sand and Gravel","1"
"Happening Multi-purpose Co-operative Society Limited","critical_battery","1","1","7","Silica/Manganese/Copper","1"
"Happy Hills Minerals Limited","critical_battery","1","0","3150","Gold/Manganese/Cobalt","1"
"Hardrock Investments Limited","critical_battery","1","0","990","Nickel/Silver/Copper","1"
"Haroons Minerals Limited","gemstones","1","0","107","Silver/Phosphorus-Phosphates/Nickel","0"
"Harvest Inn Limited","gemstones","1","0","964","Manganese/Lead/Zinc","1"
"Hatam Mining Company Limited","gemstones","1","0","10118","Lead/Iron Ore/Nickel","0"
"Havfree International Trade (pty) Limited","critical_battery","1","0","11","Nickel/Manganese/Zinc","1"
"Havillah Multi-purpose Co-operative Limited","gemstones","1","1","7","Gemstones/Gold/Cobalt","0"
"Headframe Resources (Z) Ltd","critical_battery","2","0","15341","Rare EarthsElements/Nickel/Zinc","1"
"Headframe Resources (Zambia) Limited","critical_battery","1","0","13549","Nickel/Lead/Zinc","1"
"Height Supply and General Dealers Limited","gemstones","1","0","2847","Lithium/Manganese/Lead","1"
"Heki Timbers Limited","gemstones","1","0","3140","Iron Ore/Manganese/Zinc","1"
"Helment Boot-Mining Multi-purpose Cooperative Society Limited","gemstones","1","1","7","Mica/Lithium/Tantalum","1"
"Helmwa Cooperation Limited","gemstones","1","0","7681","Nickel/Iron Ore/Gold","1"
"Henev Mining Limited","gold","1","0","30","Lead/Silica/Zinc","1"
"Heshunda Mining Company Limited","critical_battery","1","0","1118","Rare EarthsElements/Nickel/Tin","1"
"Hexagon Investments Limited","gemstones","2","0","195","Emerald/Beryllium","1"
"Hidden Treasure Zambia Company Limited","critical_battery","1","0","9467","Tin/Zinc/Gold","1"
"Highway Industries Limited","critical_battery","1","0","194","Iron Ore/Anhydrite/Limestone (General)","1"
"Hilaac Company Limited","gold","1","1","13","Gold","1"
"Hillington Mining Zambia Limited","critical_battery","2","0","12955","Nickel/Manganese/Silver","0"
"Hilron Innovations Zambia Limited","gemstones","1","0","886","Anhydrite/Gypsum/Gold","1"
"Homeland Builder Limited","critical_battery","1","0","12931","Tantalum/Niobium (Columbium)/Tungsten","0"
"Hommies Investments Limited","gemstones","2","0","6116","Gold/Manganese/Cobalt","2"
"Honesty Mining Company Limited","gemstones","1","0","14","Rare EarthsElements/Silver/Lead","1"
"HONG YUN MINING COMPANY LIMITED","gemstones","1","0","22413","Gold/Garnet/Iron Ore","0"
"Honley Investment Limited","gold","1","1","7","Lead/Gold/Copper","1"
"Horeb  Investment Limited","gold","1","0","33","Silver/Uranium/Gold","0"
"Horizon Properties Limited","gemstones","1","0","1631","Niobium (Columbium)/Talc-Soapstone/Lithium","0"
"HORMAR TRADING LIMITED","gold","1","1","13","Gold/Copper","0"
"Hoshen Mining and Exploration Limited","gold","1","0","998","Malachite/Silver/Zinc","1"
"HOTA MINING COMPANY LIMITED","gemstones","1","0","52900","Silver/Rare EarthsElements/Quartz","0"
"Hot-Spring Oils Company Limited","critical_battery","2","0","8225","Lead/Manganese/Zinc","1"
"House of Minerals Limited","gold","1","0","10","Silver/Zinc/Gold","1"
"Howler Construction Limited","gold","1","0","7","Silica/Silver/Quartz","1"
"HUA HUI INVESTMENT LIMITED","gemstones","1","0","1098","Malachite/Lead/Iron Ore","0"
"Hua-Jiang Investments Limited","critical_battery","1","0","1094","Nickel/Lead/Silver","0"
"Huan Yu Mining Mining Limited","gold","1","1","20","Gold/Copper/Cobalt","1"
"Huaxiang Investment Company Limited","gemstones","1","0","3975","Nickel/Manganese/Silver","0"
"Huios Mining and Minerals Explorations Limited","critical_battery","1","0","1337","Manganese/Limestone (General)/Zinc","1"
"Hume Stone Limited","base_metals","1","1","140","Copper","1"
"Hwaeuro Investments Limited","critical_battery","1","0","15113","Manganese/Lead/Nickel","0"
"Hyperion Corporation Limited","critical_battery","1","0","1475","Iron Ore/Manganese/Silver","0"
"IFTIN INVESTMENTS LIMITED","gold","1","1","3","Gold","1"
"Ilambalimo Mining Limited","critical_battery","1","0","3464","Nickel/Molybdenum/Marble","0"
"Ilola Datamuka Multi Purpose Co-operative Limited","critical_battery","1","1","7","Nickel/Gold/Copper","1"
"Ilola Investments Limited","critical_battery","2","0","4807","Manganese/Limestone (General)/Zinc","1"
"ILYAS INVESTMENTS LIMITED","gold","1","1","7","Gold","1"
"Incara Company (Zambia) Limited","gemstones","1","0","769","Quartz/Tourmaline/Gold","1"
"Industrial Resources Limited","critical_battery","2","0","2790","Malachite/Silver/Gold","0"
"Innovative Mining Limited","critical_battery","1","0","48880","Titanium/Nickel/Zinc","0"
"Insofu Mining Limited","gold","1","0","37255","Silver/Uranium/Gold","0"
"Intergration Zambia Limited","gemstones","1","0","48235","Manganese/Iron Ore/Platinum","1"
"INTERNAL MINDSET CO-OPERTIVE LIMITED","gold","1","1","7","Gold","1"
"Interprochan Enterprises Limited","critical_battery","1","0","53108","Nickel/Silver/Zinc","0"
"Investec Technical Services Limited","gemstones","1","0","37767","Limestone (General)/Lead/Iron Ore","1"
"Irchi Investment Limited","gemstones","1","1","1","Emerald/Beryllium/Aquamarine","0"
"Israjah Enterprises Limited","gold","1","0","343","Limestone (General)/Silica/Gold","0"
"Iwin Group Limited; Iwin Minerals Limited","critical_battery","1","0","4136","Nickel/Quartz/Silver","1"
"Izachak General Dealers Limited","gemstones","1","0","4205","Manganese/Quartz/Tourmaline","1"
"Izulu Lethu Mining & Trading Academy Limited","critical_battery","1","0","242","Manganese/Gold/Copper","1"
"J.L.Cole Investments Limited","base_metals","1","0","153","Copper","1"
"Jach Multi-Purpose Cooperative","critical_battery","1","1","7","Lead/Manganese/Zinc","1"
"Jakaya Mining Limited","critical_battery","1","0","167","Manganese/Lead/Zinc","0"
"Jakosa Investments Limited","gemstones","1","0","6829","Rare EarthsElements/Quartz/Tourmaline","1"
"Jamba Mining & Marketing Ltd","gemstones","1","1","72","Emerald/Beryllium","1"
"Jamrob Enterprises Limited","gemstones","1","0","392","Silver/Rare EarthsElements/Nickel","0"
"JASRA Mines and Investments Limited","gemstones","1","0","946","Mineral Sands/Nickel/Malachite","0"
"JC Infinity Stone Zambia Limited","critical_battery","1","0","13667","Platinum Group Metals/Molybdenum/Quartz","1"
"Jeal Investments Limited","gemstones","2","0","15770","Iron Ore/Gold/Copper","0"
"Jearmy Enterprises Limited","gemstones","1","0","107","Emerald/Gold/Copper","1"
"Jedna Agri-Trade Limited","critical_battery","1","0","9182","Iron Ore/Anhydrite/Manganese","0"
"Jeff's Farms and General Dealers Limited","gold","1","0","830","Iron Ore/Silver/Gold","1"
"Jehji Zambia Limited","critical_battery","1","0","7575","Limestone (General)/Manganese/Zinc","1"
"Jejeva Logistics Limited","gemstones","1","0","744","Manganese/Iron Ore/Silver","1"
"Jesmu Industry Company Limited","base_metals","1","1","7","Malachite/Mineral Sands/Sand","1"
"Jesu Multi Purpose Cooperative Society Limited","gold","1","1","7","Gold/Copper","1"
"Jezreel investments Limited","base_metals","1","0","478","Laterite/Iron Ore/Limestone (General)","0"
"Jilham Civil Cross Engineering Limited","gemstones","2","0","12431","Nickel/Molybdenum/Gold","2"
"JINDI MINING LIMITED","gemstones","1","0","3376","Nickel/Manganese/Silver","0"
"Jinfeng Mining Company Limited","gemstones","1","0","1704","Rare EarthsElements/Manganese/Silver","1"
"Jinhui Minerals Limited","gemstones","1","0","948","Silver/Quartz/Tourmaline","1"
"Jisanshi Investments Limited","critical_battery","1","0","22568","Manganese/Silver/Zinc","0"
"JIYAD INVESTMENTS LIMITED","gold","1","1","7","Gold","1"
"JM Quarrying and Mining Limited","gemstones","1","0","108975","Platinum/Silver/Gold","1"
"JMK Venture Limited","critical_battery","1","0","848","Lead/Iron Ore/Limestone (General)","0"
"Joe's Earthworks and Mining Ltd","critical_battery","1","0","3086","Molybdenum/Manganese/Nickel","0"
"John Matongo Mine Limited","gemstones","1","1","102","Emerald/Beryllium","0"
"Johnny's Trading co. Limited","critical_battery","1","0","96008","Manganese/Tin/Gold","0"
"Johowen Contractors and Suppliers Limited","critical_battery","1","0","898","Manganese/Lead/Zinc","1"
"JOHSTEK MINING INVESTMENTS LIMITED","critical_battery","1","0","10203","Manganese/Nickel/Gold","0"
"Jolunde Agro Services Limited","gemstones","1","0","89","Emerald/Beryllium","1"
"Jomemu Rockyview Logistics Limited","gemstones","1","0","79","Quartz/Nickel/Manganese","0"
"Jomoas Corporation Limited","gold","2","0","11642","Gold/Cobalt/Copper","2"
"Jordan Fresh Farms Limited","gold","1","0","345","Silver/Zinc/Gold","1"
"Josong Mining Limited","gemstones","1","0","936","Quartz/Tourmaline/Aquamarine","1"
"Jothe Luombe Limited","gemstones","1","0","877","Marble/Manganese/Silver","0"
"JOUVENCE PETROLEUM ZAMBIA LIMITED","gemstones","2","0","10603","Gold/Tourmaline/Manganese","0"
"Jungle Lion Mining Co-operative","gold","1","1","7","Gold/Copper/Cobalt","0"
"Junza Limited","gemstones","1","1","140","Tantalum/Tin/Amethyst","0"
"Juta Investment Limited","gemstones","1","0","96","Silver/Zinc/Diamond","0"
"Kaaf Investment Limited","gold","1","1","13","Gold/Copper","1"
"Kabijiba Mining Company Limited","critical_battery","1","0","521","Limestone (General)/Manganese/Zinc","0"
"Kabile Mining Limited","critical_battery","1","0","1803","Manganese/Silver/Zinc","1"
"Kabotu Resources Limited","critical_battery","1","0","14797","Iron Ore/Manganese/Copper","1"
"Kabulyeni Mining Limited","gold","1","0","1450","Gold/Zinc/Cobalt","1"
"Kabundi Minerals Limited","gemstones","2","0","900","Iron Ore/Manganese/Copper","0"
"Kabungu Mining and Prospecting Limited","gemstones","1","0","63","Garnet/Quartz/Tourmaline","1"
"kachiba-biyo Multipurpose Cooperative Society","gemstones","1","1","7","Lithium/Gemstones/Tin","0"
"Kachoma Mining Cooperative Society Limited","gemstones","1","1","2","Silver/Nickel/Manganese","0"
"Kadam Manja Mining Company Limited","gold","1","0","3045","Gold/Silver/Cobalt","0"
"kafulenzhi mining limited","critical_battery","1","0","328","Lead/Nickel/Zinc","1"
"KAFWA MULT-PURPOSE CO-OPERATIVE SOCIETY LIMITED","gemstones","1","1","7","Gold/Mineral Sands/Amethyst","0"
"Kainshen Investments Limited","critical_battery","2","0","4419","Silver/Nickel/Gold","2"
"Kalene Minerals Zambia Limited","gold","1","0","20043","Silver/Zinc/Gold","0"
"Kalomo Resources Limited","gemstones","1","0","12222","Nickel/Tantalum/Lithium","0"
"Kalubwe Mining Limited","gemstones","1","1","60","Emerald","1"
"Kalukana Investments Limited","gemstones","1","0","118","Emerald/Beryllium","1"
"Kalumbila Multi-purpose Cooperative Society","gemstones","1","1","7","Limestone (General)/Iron Ore/Anhydrite","1"
"Kalundu Minerals Limited","gold","1","1","7","Gold","1"
"Kalundu Student Hostel Limited","gemstones","2","0","6958","Zinc/Limestone (General)/Copper","1"
"Kalungwishi Ventures Limited","critical_battery","1","0","543","Lead/Manganese/Zinc","1"
"Kamabanga Mining Limited","gold","1","0","13","Gold/Silver/Cobalt","1"
"Kamaluba Youth Mult-purpose Cooperative Society Limited","gold","1","1","7","Iron Ore/Lead/Silver","1"
"Kamawusa Mining Limited","gold","1","0","2523","Gold/Silver/Cobalt","0"
"Kambishi Multi-purpose Co-operative Society Limited","gemstones","1","1","7","Emerald/Copper/Cobalt","0"
"Kamdothi Mining Cooperative","gemstones","1","1","7","Silver/Tourmaline/Gold","1"
"Kameha Resources Limited","gemstones","2","0","3963","Coal/Amethyst/Zinc","0"
"Kamikochi Mining Zambia Limited","critical_battery","1","0","26819","Lead/Manganese/Zinc","1"
"Kamugo Mineral Resources Limited","critical_battery","1","0","18925","Iron Ore/Nickel/Uranium","0"
"Kamuselula Mining Co- operative Society Limited","gold","1","1","7","Silver/Zinc/Gold","0"
"kamutumba mining company ltd","critical_battery","1","0","17","Manganese/Silver/Zinc","1"
"Kamwambizi Small Scale Miners Co-operative Society Limited","gemstones","1","1","7","Quartz/Tourmaline/Aquamarine","1"
"Kamwewa Investments Limited","base_metals","1","0","633","Silver/Zinc/Copper","1"
"KANCHIBIYA METALS LIMITED","base_metals","1","0","40","Malachite/Copper/Cobalt","0"
"Kandi Mining and General Dealers Limited","gold","1","0","70","Quartz/Silica/Silver","1"
"Kang Investements Limited","gemstones","1","0","181","Rare EarthsElements/Manganese/Zinc","1"
"Kango Trading Limited","critical_battery","1","0","55527","Niobium (Columbium)/Silver/Zinc","1"
"Kaole New  Dawn Mining Multipurpose  Cooperative Society Limited","critical_battery","1","1","7","Manganese/Copper","1"
"Kaoma Mining Limited","gold","1","0","17083","Silver/Zinc/Gold","0"
"Kapanda Maano Multi- Purpose Co-operative Society Limited","critical_battery","1","1","7","Lead/Manganese/Zinc","0"
"Kapesika Mining & Gold Processing","gemstones","2","0","509","Gold/Lead/Copper","2"
"Kapetu Quarry Limited","critical_battery","1","0","210","Iron Ore/Manganese/Zinc","0"
"KAPICHILA INVESTMENTS LIMITED","gemstones","2","0","1351","Zinc/Malachite/Nickel","2"
"Kapinga and Sons Investments Limited","gemstones","2","0","1689","Gold/Copper/Iron Ore","0"
"Kapsims Mining Company Limited","critical_battery","1","0","763","Manganese/Silver/Zinc","0"
"Karaka Mineral Resources Limited","critical_battery","2","0","954","Gold/Silver/Cobalt","0"
"Karamay Investment Company Limited","gemstones","1","0","74530","Quartz/Platinum/Niobium (Columbium)","0"
"Karma Processing Services and Rural Development Limited","critical_battery","1","0","21249","Lead/Manganese/Nickel","1"
"Karma Rean Investments Limited","gold","1","0","14893","Iron Ore/Silver/Gold","0"
"Kasafya Youth Multi-purpose Co-operative Society Limited","critical_battery","1","1","7","Manganese/Copper/Cobalt","1"
"KASCCO Limited","gemstones","1","0","10567","Lithium/Lead/Platinum","0"
"Kasempa Copper Mines Zambia Limited","gold","1","0","83","Gold/Copper/Cobalt","0"
"Kasimure Enterprises Limited","gemstones","1","0","110","Emerald/Beryllium","1"
"Kasiya Mining Company Limited","gemstones","1","0","65","Marble/Magnesium (Brucit)/Lithium","1"
"Kasoma Mining Project Limited","critical_battery","1","0","23","Iron Ore/Lithium/Manganese","0"
"Kasote International Limited","critical_battery","1","0","19491","Gold/Iron Ore/Tin","0"
"Kasumili Mine  Limited","gemstones","1","0","208","Quartz/Emerald/Citrine","1"
"Katanda Natural Resources Limited","critical_battery","1","0","23","Nickel/Manganese/Uranium","0"
"Katizo Mining Company Limited","critical_battery","1","0","346","Nickel/Tantalum/Titanium","0"
"Katken Enterprises Limited","gemstones","1","0","303","Nickel/Quartz/Manganese","1"
"Katoka Mema Corporation Limited","gold","1","0","843","Gold/Iron Ore/Cobalt","0"
"Katotebujo Mullti-Purpose Co-operative Limited","gemstones","1","1","7","Iron Ore/Manganese/Silver","0"
"Katuzumanana Mining Co-operative Society Limited","gold","1","1","7","Gold","1"
"Kauzu Nkhunzi Mining Cooperative Society Limited","gemstones","1","1","7","Quartz/Tourmaline/Gold","0"
"KAVOD MINING LIMITED","gemstones","1","0","21936","Limestone (General)/Iron Ore/Manganese","0"
"Kavs Equipment Limited","gemstones","1","1","28","Emerald","1"
"Kawachi Drilling and Exploration Limited","gemstones","1","0","7928","Lead/Limestone (General)/Graphite","1"
"KAYANGES VENTURES LIMITED","critical_battery","1","0","15672","Manganese/Lithium/Zinc","1"
"Kayayi Investments Limited","gemstones","1","1","117","Emerald","1"
"Kayden Investments Limited","gemstones","1","0","50","Emerald","1"
"Kaykas Investements Limited","gemstones","2","0","864","Copper/Manganese/Rare EarthsElements","2"
"Kaystech Zambia Limited","critical_battery","1","0","990","Rare EarthsElements/Zinc/Iron Ore","1"
"Kend Engineering Limited","gold","1","0","400","Gold/Copper","1"
"Kenjess general Dealers Limited","gold","1","0","644","Gold/Copper","0"
"Kenlen Minerals Limited","gold","1","0","981","Quartz/Zinc/Gold","1"
"Kennados Mining Ventures Co-operative Society Limited","gemstones","1","1","7","Silica/Tantalum/Tin","0"
"Kerson Resources Limited","gemstones","2","0","1235","Malachite/Manganese/Lead","1"
"Kesya Resources Limited","gemstones","1","0","1053","Iron Ore/Coal/Amethyst","1"
"Kevmich Resources Limited","gold","1","1","10","Gold/Copper/Cobalt","1"
"Kezram Minerals and Chemical Limited","gold","1","0","402","Gold/Copper","1"
"Khasavasa Resources Limited","critical_battery","1","0","563","Lead/Manganese/Zinc","0"
"Khazma Investments Limited","gemstones","1","0","130","Tantalum/Tin/Quartz","0"
"Khlozo Construction And General Dealers Limited","critical_battery","1","0","447","Nickel/Silver/Zinc","0"
"Kiddies University Limited","critical_battery","2","0","5549","Manganese/Zinc/Gold","1"
"KIKANA MINERALS LIMITED","critical_battery","1","0","23702","Lead/Manganese/Silver","0"
"Kilajits Engineering & Logistics Zambia Limited","critical_battery","2","0","5289","Lead/Copper/Cobalt","2"
"Kilimanjaro Mining Limited","gemstones","2","0","2147","Manganese/Lead/Quartz","0"
"Kilobo Multi-purpose Cooperative Society Limited","gold","1","1","7","Gold/Copper/Cobalt","0"
"Kilonga Investment Limited","gemstones","1","0","8118","Manganese/Limestone (General)/Zinc","0"
"Kingslight Minerals Limited","gemstones","1","0","830","Manganese/Quartz/Silver","1"
"KLC Investments Limited","gemstones","1","0","903","Limestone (General)/Rare EarthsElements/Ruby","0"
"KLR Drilling Technologies Limited","critical_battery","2","0","3084","Nickel/Manganese/Zinc","0"
"KMC Engineering & Construction Limited","critical_battery","1","0","944","Nickel/Manganese/Quartz","0"
"KMCI Mining Limited","critical_battery","1","0","990","Lead/Manganese/Zinc","1"
"KMR Geo Resources Limited","gold","1","0","217","Iron Ore/Quartz/Silver","1"
"Koala Mining Limited","gemstones","1","0","1756","Lithium/Gold/Quartz","1"
"Kounnas Zambia Limited","critical_battery","2","0","3876","Nickel/Silver/Gold","1"
