"holder","licenses","mining_lics","hectares","main_commodities","score"
"Olinda Minerals Limited","2","1","13608","Gold/Iron Ore/Cobalt","9.13379285806019"
"Fyakufolobolafye Mining Cooperative Society Limited","2","2","13","Gold/Silver/Zinc","9.12747411569938"
"Bwesu Ubunoshi Multipurpose Cooperative Society","2","2","13","Rare EarthsElements/Tantalum/Copper","9.12740934589643"
"AAL- Grace Mining Co-operative Society Limited","2","2","13","Iron Ore/Zinc/Copper","9.12710479836481"
"Endeavor Rise Multi-Purpose Co-operative Society Limited","2","2","13","Gold/Gemstones/Copper","9.12678057701201"
"LUSAC BUILDERS MULTI- PURPOSE  CO-OPERATIVE SOCIETY LIMITED","2","2","13","Nickel/Anhydrite/Zinc","9.1256731586894"
"Solola Multi-purpose Co-operative","2","2","13","Gold/Copper/Silver","9.12564064042098"
"Muchinga Route Multi-purpose Co-operative Society Limited","2","2","13","Nickel/Anhydrite/Zinc","9.12486598618956"
"Chikoti Khisa-Mining Co-operative Society Limited","2","2","13","Quartz/Rare EarthsElements/Cobalt","9.12483014941386"
"COMETOGETHER MULTI-PURPOSED CO-OPERATIVE SOCIETY LIMITED","2","2","13","Rare EarthsElements/Silver/Quartz","9.12482037523451"
"NORTHWEST - LINE MULTIPURPOSE CO-OPERATIVE SOCIETY LIMITED","2","2","13","Zinc/Anhydrite/Quartz","9.12480734265319"
"Kalomona Mining Cooperative Society Limited","2","2","13","Quartz","9.12457594923109"
"CHINTUCHOMWE MULTI-PURPOSE CO-OPERATIVE SOCIETY LIMITED","2","2","13","Quartz/Nickel/Zinc","9.12456942932084"
"QUICK SQUAD MULTI-PURPOSE COOPERATIVE LIMITED","2","2","13","Copper/Cobalt/Gold","9.12417805547467"
"Front Page Multi-Purpose Cooperative Society Limited","2","2","13","Clay (General)/Mineral Sands/Feldspar","9.1237504026348"
"Silver Grown Investment Limited","2","2","13","Gold/Copper","9.12351190942978"
"KYASALAULA MULTIPURPOSE CO-OPERATIVE SOCIETY","2","2","13","Zinc/Gold/Copper","9.12345308275233"
"Nyamphende Small Scale Mining Cooperative Society","2","2","13","Quartz/Gold/Copper","9.12335502057918"
"Mwandanga Mining And Crushing Multi-purpose Co-operative Society Limited","2","2","13","Quartz/Iron Ore/Manganese","9.12326020609318"
"Chibechatu Multi-purpose Co-operative Society Limited","2","2","13","Nickel/Lithium/Zinc","9.12270070629338"
"Lumbeni Multi-purpose Co-operative Society Limited","2","2","13","Lead/Manganese/Zinc","9.12254352406875"
"Twafwilishane Multi-Purpose Co-operative Society Limited","2","2","13","Zinc/Lead/Copper","9.12254352406875"
"Lubalashi Co-operative Limited","2","2","13","Limestone (General)","9.1219535835453"
"Faith Womens Mining Cooperative Society Limited","2","2","13","Gold/Iron Ore/Quartz","9.12188798510368"
