"holder","segment","hectares","licenses","mining_lics","main_commodities","lics_in_default_2025","status"
"Brigade Construction Limited","critical_battery","79768","6","2","Manganese/Gold/Silver","1","researched_no_channel"
"Madar Mining Zambia Limited","gemstones","79372","1","0","Rare EarthsElements/Manganese/Lead","0","never_researched"
"ELEGANTE MINERAL RESOURCES LIMITED","gemstones","79213","3","0","Gold/Zinc/Copper","0","researched_no_channel"
"Zhonghe Investment Group Coorperation Limited","gemstones","79205","1","0","Manganese/Nickel/Zinc","0","never_researched"
"North Gypsum Mining Limited","gemstones","78318","1","0","Rare EarthsElements/Manganese/Silver","0","never_researched"
"Red Sea Resources Zambia Limited","critical_battery","78163","3","0","Lead/Manganese/Gold","2","researched_no_channel"
"Brxton Construction Limited","critical_battery","77553","2","0","Nickel/Zinc/Gold","1","researched_no_channel"
"N.I.C Investments Limited","critical_battery","77332","1","0","Nickel/Uranium/Zinc","1","researched_no_channel"
"Mudiwa Resources Limited","gemstones","76943","3","0","Gold/Cobalt/Copper","2","researched_no_channel"
"Exoryxi Mining Limited","gemstones","75665","5","0","Gold/Copper/Cobalt","2","researched_no_channel"
"Binjoh Investments Limited","gemstones","75657","4","0","Copper/Manganese/Silver","0","researched_no_channel"
"Pegma Mining Limited","gemstones","75010","4","0","Iron Ore/Zinc/Nickel","1","researched_no_channel"
"FORLUK VENTURES LIMITED","critical_battery","74793","5","0","Gold/Copper/Cobalt","3","researched_no_channel"
"Nile Minerals Limited","gemstones","74613","4","0","Manganese/Copper/Zinc","0","researched_no_channel"
"Copper Anode Zambia Limited","critical_battery","74550","4","0","Lead/Zinc/Gold","0","researched_no_channel"
"Karamay Investment Company Limited","gemstones","74530","1","0","Quartz/Platinum/Niobium (Columbium)","0","never_researched"
"EVONSE INVESTMENTS LIMITED","base_metals","73417","1","0","Copper","0","researched_no_channel"
"Bayaji Zambia Limited","critical_battery","72657","1","0","Gold/Manganese/Cobalt","0","never_researched"
"Sino Great Chemical Company Limited","gemstones","72516","1","0","Malachite/Iron Ore/Nickel","0","never_researched"
"SIBRU MINING INVESTMENTS LIMITED","gemstones","72300","4","0","Nickel/Silver/Zinc","0","researched_no_channel"
"Senke Investment Limited","gemstones","71981","6","0","Copper/Kaolin/Feldspar","1","researched_no_channel"
"Magna Mining Limited","gemstones","71697","5","0","Copper/Gold/Manganese","0","researched_no_channel"
"Bayan Construction Limited","critical_battery","71519","3","1","Iron Ore/Manganese/Silver","1","researched_no_channel"
"Sendwe Investments Limited","critical_battery","70697","5","1","Gold/Nickel/Cobalt","0","researched_no_channel"
"Avocado Mining Limited","gemstones","69764","5","1","Copper/Gold/Iron Ore","5","researched_no_channel"
"Mildil Construction Limited","critical_battery","69272","4","0","Gold/Copper/Cobalt","3","researched_no_channel"
"Tehila Milling Limited","critical_battery","69059","1","0","Lead/Nickel/Zinc","1","never_researched"
"pumbaa ventures limited","critical_battery","68971","2","0","Iron Ore/Copper/Cobalt","2","researched_no_channel"
"Pacific Minerals Limited","gemstones","68628","4","0","Niobium (Columbium)/Gold/Copper","0","researched_no_channel"
