"holder","segment","hectares","licenses","mining_lics","main_commodities","lics_in_default_2025","status"
"Mumfunshya Mining Limited","gemstones","1357","2","1","Emerald/Rare EarthsElements/Copper","0","researched_no_channel"
"Pigeon Mineral Resources Limited","gemstones","1352","2","0","Tourmaline/Garnet/Quartz","2","never_researched"
"KAPICHILA INVESTMENTS LIMITED","gemstones","1351","2","0","Zinc/Malachite/Nickel","2","never_researched"
"Lumuno Enterprises Limited","gemstones","1350","2","0","Iron Ore/Tourmaline/Gold","2","never_researched"
"Talang Mining Company Limited","critical_battery","1348","2","1","Copper/Manganese/Iron Ore","1","researched_no_channel"
"SMR Construction Limited","gemstones","1344","1","0","Silver/Nickel/Zinc","0","never_researched"
"Zamtech Minerals Limited","critical_battery","1340","2","0","Molybdenum/Silver/Tin","2","never_researched"
"Huios Mining and Minerals Explorations Limited","critical_battery","1337","1","0","Manganese/Limestone (General)/Zinc","1","never_researched"
"FEDAR INVESTMENT COMPANY LIMITED","gemstones","1336","2","0","Coal/Amethyst/Granite","0","never_researched"
"ALDI Agro  and General Dealers Zambia Limited","gemstones","1329","2","0","Quartz/Gold/Zinc","2","never_researched"
"Sajarke Resources Limited","critical_battery","1324","1","0","Iron Ore/Manganese/Copper","1","never_researched"
"A.Argente and Company Limited","critical_battery","1318","3","0","Iron Ore/Manganese/Gold","1","researched_no_channel"
"Flow Valve Limited","gemstones","1311","2","0","Gold/Manganese/Zinc","2","never_researched"
"Freshpoint Mining Enterprises & General Suppliers Limited","gemstones","1300","2","0","Gold/Copper/Amethyst","2","never_researched"
"Bangaram Mining Limited","gemstones","1297","2","0","Iron Ore/Zinc/Manganese","2","never_researched"
"MJAC Minerals Company Limited","gemstones","1288","1","0","Green tourmaline/Iron Ore/Quartz","0","never_researched"
"Bumpekete Mining & Exploration Limited","critical_battery","1286","2","1","Iron Ore/Manganese/Zinc","1","researched_no_channel"
"Wecare Resources Limited","critical_battery","1280","1","0","Manganese/Mica/Rare EarthsElements","0","never_researched"
"Gehaanto Enterprises Limited","gemstones","1278","1","0","Silver/Tourmaline/Iron Ore","0","never_researched"
"Trendy Enterprises Limited","critical_battery","1256","2","0","Lead/Limestone (General)/Manganese","2","never_researched"
"Red Copper Resources Limited","critical_battery","1255","3","0","Silver/Gold/Copper","2","never_researched"
"Neon Mining Limited","critical_battery","1250","4","0","Limestone (General)/Manganese/Zinc","4","researched_no_channel"
"Xtract Mines and Mineral Resources Limited","critical_battery","1247","3","0","Manganese/Gypsum/Anhydrite","1","never_researched"
"Silazo Enterprises Limited","gemstones","1246","4","0","Gold/Copper/Aquamarine","4","researched_no_channel"
"Chama Minerals Resources Limited","gemstones","1238","2","1","Titanium/Zinc/Tantalum","1","researched_no_channel"
"Evergreat Investment Company Limited","industrial_minerals","1237","1","0","Limestone (General)/Granite/Dolomite","0","never_researched"
"Zohara Mining Limited","critical_battery","1237","3","0","Iron Ore/Manganese/Gold","0","never_researched"
"Luban Engineering Zambia Limited","gemstones","1237","2","0","Iron Ore/Nickel/Gold","0","never_researched"
"Kerson Resources Limited","gemstones","1235","2","0","Malachite/Manganese/Lead","1","never_researched"
"Africoin Investment Limited","gemstones","1229","2","0","Copper/Gold/Aquamarine","2","never_researched"
"GRN Constructions Zambia Limited","gemstones","1228","1","0","Iron Ore/Gold/Lead","0","never_researched"
"J.S.Moyo Farms Limited","critical_battery","1219","4","4","Sand and Gravel/Iron Ore/Silica","4","researched_no_channel"
"Chalemba Investments Limited","gemstones","1219","3","0","Iron Ore/Lithium/Copper","2","never_researched"
"Stonecore Mine Limited","gemstones","1202","2","0","Titanium/Tantalum/Sugilite","0","never_researched"
"Forest Mining Limited","gemstones","1196","3","1","Iron Ore/Manganese/Lead","1","researched_no_channel"
"Lintai Mining Company Limited","critical_battery","1176","1","0","Manganese/Lead/Zinc","0","never_researched"
"AMS Commodities Limited","critical_battery","1160","3","0","Copper/Silver/Zinc","1","never_researched"
"Mango Grove Investments Limited","critical_battery","1159","2","0","Lead/Quartz/Zinc","2","never_researched"
"Mkula Mining Limited","gold","1154","3","3","Gold","0","researched_no_channel"
"Northcut Mining Limited","gemstones","1146","1","0","Silver/Gold/Tin","1","never_researched"
"China Zhong Yuan International Limited","critical_battery","1136","2","0","Manganese/Silver/Lead","2","never_researched"
"KAMPELEMBE CSS MINES LIMITED","critical_battery","1129","4","4","Manganese/Iron Ore/Copper","3","researched_no_channel"
"Shri Subh Metals Limited","critical_battery","1127","1","0","Malachite/Lead/Zinc","0","never_researched"
"Colchi Farms Limited","gold","1118","3","3","Limestone (General)/Gold/Cobalt","3","researched_no_channel"
"Heshunda Mining Company Limited","critical_battery","1118","1","0","Rare EarthsElements/Nickel/Tin","1","never_researched"
"Selmat Investments Limited","gold","1115","1","0","Quartz/Gold/Copper","1","never_researched"
"Scirocco Enterprises Limited","gold","1111","3","3","Limestone (General)/Gold/Silver","3","researched_no_channel"
"ZANAVI INVESTMENTS GROUP LIMITED","critical_battery","1109","1","0","Manganese/Lead/Zinc","0","never_researched"
"Mulundu Mineral Resources Limited","gemstones","1109","2","0","Gold/Nickel/Silver","1","researched_no_channel"
"Sidhi Vinayak Base Metal Limited","critical_battery","1106","3","0","Manganese","0","never_researched"
"Haizhou Mining Resources Co. Limited","gold","1104","2","0","Iron Ore/Silver/Gold","1","never_researched"
"Jiuda Investment Limited","critical_battery","1103","2","1","Zinc/Lead/Manganese","1","researched_no_channel"
"Mineworth Investments Limited","critical_battery","1099","2","0","Iron Ore/Nickel/Zinc","0","never_researched"
"Mapp Mining Limited","critical_battery","1099","1","0","Manganese/Lead/Zinc","1","never_researched"
"XL Waste Management and Green Energy","gemstones","1099","5","1","Limestone (General)/Copper/Feldspar","1","researched_no_channel"
"HUA HUI INVESTMENT LIMITED","gemstones","1098","1","0","Malachite/Lead/Iron Ore","0","never_researched"
"Mvuu Resources Limited","gold","1094","1","0","Iron Ore/Zinc/Gold","0","never_researched"
"Hua-Jiang Investments Limited","critical_battery","1094","1","0","Nickel/Lead/Silver","0","never_researched"
"AFTHONI METALS CONSORTIUM LIMITED","gemstones","1090","1","0","Manganese/Mineral Sands/Iron Ore","0","never_researched"
"Munanzuki Resources","gemstones","1085","1","0","Limestone (General)/Anhydrite/Quartz","0","researched_no_channel"
"Zambold Properties Limited","critical_battery","1084","1","0","Silver/Selenium/Platinum Group Metals","0","never_researched"
"Pamodzi Investments Limited","gemstones","1082","2","0","Copper/Gold/Silver","0","never_researched"
"Sichipema Resources Limited","critical_battery","1082","6","1","Gold/Manganese/Cobalt","2","researched_no_channel"
"Chavuma Mineral Resources Limited","gemstones","1075","1","0","Anhydrite/Gypsum/Gold","1","never_researched"
"Vista Cotlands Consultants Limited","critical_battery","1074","2","0","Nickel/Silver/Zinc","1","never_researched"
"Tancol Minerals Limited","gemstones","1072","5","4","Quartz/Tourmaline/Tantalum","3","researched_no_channel"
"Athena Investments Limited","gold","1069","2","0","Iron Ore/Silver/Gold","2","never_researched"
"Aeon Engineering Limited","critical_battery","1064","2","0","Gold/Copper/Nickel","1","never_researched"
"Red Bell Construction Limited","gemstones","1063","1","0","Manganese/Nickel/Iron Ore","1","never_researched"
"Makgowan Resources Limited","critical_battery","1057","2","0","Granite/Iron Ore/Manganese","0","researched_no_channel"
"Kesya Resources Limited","gemstones","1053","1","0","Iron Ore/Coal/Amethyst","1","never_researched"
"Gold Lookers Mining Limited","critical_battery","1053","3","0","Manganese/Tin/Iron Ore","1","never_researched"
"Chazychilz Investments Limited","gemstones","1043","3","0","Gold/Iron Ore/Copper","2","never_researched"
"Clarma Resources Limited","gemstones","1036","3","0","Cobalt/Gold/Iron Ore","2","researched_no_channel"
"ENOSARS CONSTRUCTION LIMITED","gemstones","1033","2","0","Manganese/Limestone (General)/Lead","0","researched_no_channel"
"Trailblazer Minerals Company","gemstones","1027","2","1","Copper/Gold/Sugilite","0","researched_no_channel"
"Divine Mimuvelyn Mining and Exploration Company  Limited","critical_battery","1006","3","0","Lead/Manganese/Silver","3","never_researched"
"Wilna Enterprises Limited","critical_battery","1005","2","0","Iron Ore/Manganese/Quartz","2","never_researched"
"Proactive Youths Construction Limited","gemstones","1002","1","0","Anhydrite/Gypsum/Iron Ore","0","never_researched"
"Afristones Resources Limited","gemstones","1000","1","0","Lead/Iron Ore/Manganese","1","never_researched"
"Hoshen Mining and Exploration Limited","gold","998","1","0","Malachite/Silver/Zinc","1","never_researched"
"Raptor Mining Limited","gemstones","998","1","0","Gold/Silver/Tourmaline","0","never_researched"
"Tawakkal Gems Investments Co. Ltd","gemstones","997","3","1","Emerald/Quartz/Manganese","1","researched_no_channel"
"Lutebwe Mining Zambia Limited","gold","997","1","0","Lead/Quartz/Zinc","0","never_researched"
"Blueware Investments Limited","critical_battery","995","1","0","Iron Ore/Manganese/Gold","1","never_researched"
"Luambulu Mining Limited","gemstones","994","1","0","Gold/Quartz/Tourmaline","1","never_researched"
"Chilindi Investment Limited","critical_battery","993","1","0","Iron Ore/Manganese/Copper","1","never_researched"
"Titamenji Construction Limited","gemstones","993","1","0","Phosphorus-Phosphates/Niobium (Columbium)/Nickel","1","never_researched"
"Angra Resources Limited","critical_battery","992","1","0","Manganese/Limestone (General)/Zinc","0","never_researched"
"Ecomine Exploration Company Limited","gemstones","992","2","0","Copper/Iron Ore/Tantalum","0","never_researched"
"Mwepago Mineral Resources","base_metals","991","1","0","Talc-Soapstone/Zinc/Kaolin","0","researched_no_channel"
"Kaystech Zambia Limited","critical_battery","990","1","0","Rare EarthsElements/Zinc/Iron Ore","1","never_researched"
"Majeed Pasha Investments Limited","gold","990","1","0","Gold/Iron Ore/Cobalt","0","never_researched"
"ADHI SHIVA ENTERPRISES LIMITED","critical_battery","990","1","0","Malachite/Manganese/Zinc","0","never_researched"
"Hardrock Investments Limited","critical_battery","990","1","0","Nickel/Silver/Copper","1","never_researched"
"AZANIA MINING COMPANY LIMITED","gemstones","990","1","0","Iron Ore/Lead/Manganese","1","never_researched"
"KMCI Mining Limited","critical_battery","990","1","0","Lead/Manganese/Zinc","1","never_researched"
"Mublecha Enteprises Limited","critical_battery","989","1","0","Manganese/Zinc/Gold","1","researched_no_channel"
"Shimumu Investment Limited","critical_battery","988","2","0","Quartz/Zinc/Manganese","2","researched_no_channel"
"Whirlpool Minerals Limited","critical_battery","986","1","0","Tin/Zinc/Copper","1","never_researched"
"Minsundu Gemstone Mining Limited","gemstones","984","1","0","Manganese/Quartz/Tourmaline","1","researched_no_channel"
"Kabompo Mineral Resources Limited","gemstones","983","2","1","Gold/Zinc/Cobalt","2","researched_no_channel"
"ECOSAN Development and Trading Limited","gemstones","982","1","0","Mica/Gold/Tantalum","1","never_researched"
"Rimond Mining Resources Limited","gold","982","1","0","Gold/Iron Ore/Cobalt","1","researched_no_channel"
"Firmato Investiment Limited","critical_battery","982","1","0","Manganese/Zinc/Iron Ore","1","researched_no_channel"
"Kenlen Minerals Limited","gold","981","1","0","Quartz/Zinc/Gold","1","never_researched"
"Northdale Explorations & Logistics Limited","industrial_minerals","979","1","0","Stone/Silica/Crushed/Broken Stone","0","researched_no_channel"
"Xingstone Resources Limited","gemstones","977","2","0","Quartz/Tourmaline/Zinc","2","researched_no_channel"
"MWILA  J. CIVILS LIMITED","gemstones","976","2","0","Limestone (General)/Malachite/Manganese","0","never_researched"
"Mise Mining Limited","critical_battery","973","1","0","Anhydrite/Iron Ore/Rare EarthsElements","1","researched_no_channel"
"Alpine Prperties Limited","critical_battery","972","1","0","Iron Ore/Nickel/Zinc","1","never_researched"
"Prekas Company Limited","gold","970","3","2","Iron Ore/Gold/Copper","1","researched_no_channel"
"Afritrans Global Investments Limited","gemstones","969","1","0","Lead/Iron Ore/Zinc","0","researched_no_channel"
"Lifestone Minerals Limited","gemstones","966","1","0","Quartz/Manganese/Zinc","1","never_researched"
"Greenvelt Mining Limited","critical_battery","965","1","0","Gold/Nickel/Cobalt","1","never_researched"
"Harvest Inn Limited","gemstones","964","1","0","Manganese/Lead/Zinc","1","never_researched"
"Chakam Mining Limited","critical_battery","962","1","0","Platinum/Manganese/Silver","0","never_researched"
"Cales Investment Limited","critical_battery","959","1","0","Silver/Nickel/Zinc","1","researched_no_channel"
"Tulututwe Mining Limited","critical_battery","957","1","0","Lead/Manganese/Zinc","1","never_researched"
"Muchaba Enterprises Company Limited","energy_minerals","956","2","0","Limestone (General)/Sand/Molding","1","researched_no_channel"
"Geljam Mineral Company Limited","critical_battery","956","1","0","Manganese/Limestone (General)/Tin","1","never_researched"
"Salute Small Mining Limited","critical_battery","955","1","0","Manganese/Silver/Talc-Soapstone","0","never_researched"
"Sibir Investment Limited","critical_battery","955","1","0","Rare EarthsElements/Tantalum/Zinc","1","never_researched"
"ADAKOLE VENTURES LIMITED","gemstones","954","1","0","Lead/Iron Ore/Granite","0","never_researched"
"Karaka Mineral Resources Limited","critical_battery","954","2","0","Gold/Silver/Cobalt","0","never_researched"
"Winkalu Limited","gold","954","1","0","Gold/Copper","1","never_researched"
"Pragmatic Investments Limited","gold","953","1","0","Gold/Silver/Cobalt","1","researched_no_channel"
"Merjun Explorations Limited","gemstones","953","1","0","Diamond","1","never_researched"
"Negro F-Solutions Limited","critical_battery","952","1","0","Manganese/Lead/Zinc","1","never_researched"
"Abida Seed Consulting Limited","gemstones","952","1","0","Rare EarthsElements/Manganese/Zinc","1","never_researched"
"Kuhimpika Mining Company Limited","gold","952","1","0","Iron Ore/Silver/Gold","1","never_researched"
"Integrity Mining Limited","critical_battery","952","1","0","Nickel/Zinc/Gold","0","researched_no_channel"
"Chibilika Mines Limited","gemstones","951","1","0","Magnesium (Brucit)/Iron Ore/Quartz","0","never_researched"
"Delta-Zone Mining & Exploration Limited","gemstones","951","1","0","Nickel/Manganese/Quartz","0","never_researched"
"Mafota Minerals and Mines Limited","critical_battery","949","1","0","Manganese/Gold/Copper","1","researched_no_channel"
"Cherery Mining Company Limited","critical_battery","949","1","0","Manganese/Nickel/Iron Ore","1","never_researched"
"Newmark Resources Limited","gemstones","949","1","0","Manganese/Nickel/Anhydrite","1","never_researched"
"Bright Sky Mining Limited","gemstones","949","1","0","Manganese/Malachite/Limestone (General)","0","researched_no_channel"
"Saleforce General Dealers Limited","gemstones","948","1","0","Gold/Tourmaline/Copper","1","never_researched"
"Jinhui Minerals Limited","gemstones","948","1","0","Silver/Quartz/Tourmaline","1","never_researched"
"Qwatu Construction Limited","critical_battery","948","1","0","Iron Ore/Lead/Nickel","1","never_researched"
"DINOEL INVESTMENTS LIMITED","critical_battery","948","1","0","Iron Ore/Manganese/Zinc","0","never_researched"
"Vorezat Investment Limited","gemstones","947","1","0","Manganese/Limestone (General)/Lead","0","never_researched"
"JASRA Mines and Investments Limited","gemstones","946","1","0","Mineral Sands/Nickel/Malachite","0","never_researched"
"Pensulo Ferro Alloys Limited","critical_battery","945","1","0","Manganese/Quartz/Limestone (General)","0","never_researched"
"Mutobo Mining & General Dealers Limited","gemstones","945","1","0","Diamond/Emerald/Quartz","1","never_researched"
"KMC Engineering & Construction Limited","critical_battery","944","1","0","Nickel/Manganese/Quartz","0","never_researched"
"Lwebitech Farms Limited","gold","944","1","0","Gold/Copper/Cobalt","1","never_researched"
"Bukema Mining Limited","gemstones","943","1","0","Manganese/Iron Ore/Quartz","1","never_researched"
"BUterla Investment Holdings Limited","gold","942","1","0","Limestone (General)/High Calcium Limestone/Talc-Soapstone","0","researched_no_channel"
"Sabi Lodges and Adventures Limited","gold","940","2","1","Gold/Copper/Silver","2","researched_no_channel"
"OSCOL Zambia Limited","gemstones","939","1","0","Nickel/Manganese/Lithium","0","never_researched"
"Machiba Computers Limited","critical_battery","937","1","0","Silica/Zinc/Manganese","0","never_researched"
"Josong Mining Limited","gemstones","936","1","0","Quartz/Tourmaline/Aquamarine","1","never_researched"
"Ridochi Mining Limited","gemstones","933","1","0","Gypsum/Gold/Quartz","0","never_researched"
"Mulala Farms Limited","critical_battery","933","1","0","Manganese/Phosphorus-Phosphates/Lead","1","never_researched"
"Ghoso Mining Hub Limited","critical_battery","932","1","0","Lead/Manganese/Silver","0","never_researched"
"Mumbachala Mines Company Limited","gemstones","928","1","0","Limestone (General)/Manganese/Quartz","1","never_researched"
"SKY GROW INVESTMENTS LIMITED","critical_battery","922","1","0","Malachite/Manganese/Zinc","0","never_researched"
"Sachi National Wide Suppliers Limited","critical_battery","920","1","0","Nickel/Manganese/Zinc","1","never_researched"
"Luchat Business Company Limited","gemstones","919","1","0","Emerald/Quartz/Copper","1","never_researched"
"Afro Development Services Limited","gemstones","917","1","0","Iron Ore/Manganese/Quartz","1","never_researched"
"Anathoth Resources Limited","critical_battery","913","1","0","Tin/Manganese/Coal","1","never_researched"
"East-Tech Investments Limited","critical_battery","912","1","0","Tin/Coal","1","never_researched"
"Srinibash Metals Zambia Limited","gemstones","911","1","0","Manganese/Malachite/Lead","0","never_researched"
"Laka Mining Resources LIMITED","critical_battery","911","1","0","Gold/Nickel/Cobalt","0","never_researched"
"MUKAPELWA SMALL SCALE MINING LIMITED","gemstones","911","1","0","Manganese/Lead/Iron Ore","0","never_researched"
"Twenty Ten Investments Limited","gemstones","910","3","1","Iron Ore/Manganese/Quartz","0","researched_no_channel"
"Palosha Investments Limited","gemstones","910","1","0","Tantalum/Quartz/Tourmaline","0","never_researched"
"Green Orange Mining Limited","gemstones","905","2","1","Quartz/Gold/Ruby","0","researched_no_channel"
"Ubuntu Small Scale Mining Company Limited","critical_battery","905","1","0","Quartz/Nickel/Zinc","0","researched_no_channel"
"Belipajaali Enterprises Limited","gold","904","1","0","Zinc/Gold/Copper","0","never_researched"
"KLC Investments Limited","gemstones","903","1","0","Limestone (General)/Rare EarthsElements/Ruby","0","never_researched"
"Mafula Mining Limited","gemstones","902","1","0","Platinum/Nickel/Silver","0","never_researched"
"Roan Sable Limited","critical_battery","901","1","0","Manganese","1","never_researched"
"Pladoc Enterprises Limited","gemstones","901","1","0","Limestone (General)/Lead/Iron Ore","0","never_researched"
"AGS Pneumatics Services Limited","gemstones","900","1","0","Platinum/Nickel/Manganese","1","never_researched"
"Malibu Mining Limited","gold","900","3","1","Gold/Silver/Zinc","0","researched_no_channel"
"Vatech Limited","critical_battery","900","2","0","Malachite/Limestone (General)/Nickel","0","never_researched"
"Kabundi Minerals Limited","gemstones","900","2","0","Iron Ore/Manganese/Copper","0","never_researched"
"Kuza Investments Limited","critical_battery","899","1","0","Nickel/Manganese/Talc-Soapstone","1","never_researched"
"Johowen Contractors and Suppliers Limited","critical_battery","898","1","0","Manganese/Lead/Zinc","1","never_researched"
"Expat Management Services Limited","critical_battery","892","1","0","Quartz/Nickel/Zinc","0","never_researched"
"Munjiwe Enterprises Limited","critical_battery","891","1","0","Lead/Manganese/Silver","1","never_researched"
"SRI DURGA VINAYAKA MINES AND MINERALS LIMITED","critical_battery","887","1","0","Quartz/Manganese/Sand","0","never_researched"
"Talang Mining Co. Limited","gemstones","887","2","1","Amethyst/Quartz","1","researched_no_channel"
"Kindred Mining Limited","industrial_minerals","887","1","0","Silica/Quartz/Limestone (General)","1","researched_no_channel"
"Hilron Innovations Zambia Limited","gemstones","886","1","0","Anhydrite/Gypsum/Gold","1","never_researched"
"Chipmonic General Dealers Limited","critical_battery","885","1","0","Nickel/Silver/Gold","1","never_researched"
"Newport Marketing Company Limited","gemstones","882","1","0","Iron Ore/Anhydrite/Gypsum","0","never_researched"
"Tayu Metals Mining Limited","critical_battery","879","1","0","Iron Ore/Manganese/Quartz","1","never_researched"
"Nebula Mining Limited","critical_battery","878","1","0","Manganese/Quartz/Copper","0","researched_no_channel"
"Jothe Luombe Limited","gemstones","877","1","0","Marble/Manganese/Silver","0","never_researched"
"Workman Mining Industries Zambia Limited","critical_battery","876","2","1","Gold/Copper/Manganese","2","researched_no_channel"
"Grhin Mine Limited","critical_battery","875","1","0","Iron Ore/Graphite/Manganese","1","never_researched"
"ALGLOBAL NATURAL RESOURCES LIMITED","critical_battery","873","1","0","Quartz/Manganese/Zinc","0","never_researched"
"Brinewlam Mining Limited","gemstones","872","1","0","Manganese/Quartz/Iron Ore","1","never_researched"
"Summit Minerals Limited","critical_battery","872","2","0","Silver/Zinc/Manganese","0","never_researched"
"Mayiko Mining Limited","critical_battery","871","1","0","Iron Ore/Manganese/Zinc","0","never_researched"
"BNV Holdings Limited","critical_battery","871","1","0","Iron Ore/Manganese/Zinc","0","never_researched"
"Kunachi Northwest Investements Limited","gemstones","870","1","0","Rare EarthsElements/Manganese/Zinc","1","never_researched"
"Freeway Minerals Limited","gemstones","866","2","0","Copper/Cobalt/Tourmaline","1","never_researched"
"Genem MINERAL LIMITED","critical_battery","865","4","0","Gold/Copper/Iron Ore","2","researched_no_channel"
"Kaykas Investements Limited","gemstones","864","2","0","Copper/Manganese/Rare EarthsElements","2","never_researched"
"Samre Mining Resources Limited","gold","864","1","0","Gold/Copper/Cobalt","0","never_researched"
"Smart Deal Tech Limited","gold","860","1","0","Gold/Copper/Cobalt","1","never_researched"
"Mwakali Mining Limited","gemstones","852","1","0","Iridium/Lead/Anhydrite","0","never_researched"
"Surgitech Enterprise Limited","critical_battery","850","1","0","Quartz/Manganese/Stone","0","never_researched"
"JMK Venture Limited","critical_battery","848","1","0","Lead/Iron Ore/Limestone (General)","0","never_researched"
"Maxping Mining Limited","gemstones","845","1","0","Quartz/Gold/Silver","1","researched_no_channel"
"Katoka Mema Corporation Limited","gold","843","1","0","Gold/Iron Ore/Cobalt","0","never_researched"
"Mugla Mining Investment Zambia Limited","critical_battery","842","1","0","Lead/Manganese/Zinc","1","researched_no_channel"
"Lufwambula Small Scale Mining Limited","gemstones","840","3","3","Gold/Copper/Cobalt","0","researched_no_channel"
"A.M Aggeliki Maria Consulting Solutions Limited","critical_battery","839","1","1","Palladium/Nickel/Platinum","1","researched_no_channel"
"Milindi Sanitation and General Dealers Limited","gemstones","836","1","0","Quartz/Silver/Tourmaline","1","never_researched"
"Dhoonde Logistics Limited","gold","835","1","0","Iron Ore/Silver/Copper","0","researched_no_channel"
"Chamat Suppliers and General Dealers Limited","critical_battery","834","1","0","Nickel/Silver/Zinc","1","never_researched"
"Kingslight Minerals Limited","gemstones","830","1","0","Manganese/Quartz/Silver","1","never_researched"
"Jeff's Farms and General Dealers Limited","gold","830","1","0","Iron Ore/Silver/Gold","1","never_researched"
"Rock Trapper mining Limited","gemstones","829","1","0","Quartz/Manganese/Zinc","0","never_researched"
"Engco Civils Limited","critical_battery","827","1","0","Iron Ore/Manganese/Cobalt","0","never_researched"
"Astrome Solutions Zambia Limited","critical_battery","820","1","0","Granite/Manganese/Silver","1","never_researched"
"Misheck Minerals Exploration Limited","gold","820","1","0","Iron Ore/Silver/Gold","1","researched_no_channel"
"CHAKRA MINES AND MINERALS LIMITED","critical_battery","819","1","0","Manganese/Zinc/Gold","0","researched_no_channel"
"Arlinton Investment Limited","critical_battery","815","1","0","Tantalum/Tin/Lithium","1","never_researched"
"Tinco Zambia Limited","gemstones","815","2","0","Silver/Lithium/Lead","0","never_researched"
"Tiana Tia Manufacturing Zambia Limited","critical_battery","814","2","1","Rare EarthsElements/Tin/Tungsten","0","researched_no_channel"
"Seagreen Mining Company Limited","critical_battery","811","1","0","Lead/Manganese/Zinc","1","never_researched"
"Dashun Industry Company Limited","critical_battery","810","2","1","Zinc/Silica/Limestone (General)","0","researched_no_channel"
"ADEMUKO MINING CONTRACTORS AND ENGINEERING  SERVICES LIMITED","critical_battery","800","1","0","Quartz/Mica/Manganese","0","never_researched"
"Zombe-Tec Investments Ltd","critical_battery","799","2","1","Manganese/Zinc/Iron Ore","0","researched_no_channel"
"Workman Construction Zambia Limited","critical_battery","799","2","2","Palladium/Manganese/Zinc","2","researched_no_channel"
"Bubala Mining and Construction Limited","base_metals","798","1","0","Anhydrite/Gypsum/Iron Ore","1","researched_no_channel"
"Badiye Limited","gold","797","3","2","Copper/Gold/Silver","1","researched_no_channel"
"Lunda Resources Limited","critical_battery","796","2","2","Gold/Silver/Cobalt","2","researched_no_channel"
"Eagle Line Investment Limited","critical_battery","795","2","2","Gold/Copper/Cobalt","2","researched_no_channel"
"Lusangazi Nyakulemba Gold Minerals Resources Limited","gemstones","791","1","0","Tourmaline/Gold/Copper","0","never_researched"
"Dalobelt Zambia Limited","critical_battery","787","2","2","Lead/Manganese/Zinc","1","researched_no_channel"
"Mufwashi Mining and Resources Limited","gemstones","779","2","2","Manganese/Iron Ore/Silver","2","researched_no_channel"
"ROX  METAL INVESTMENT LIMITED","critical_battery","775","1","0","Malachite/Nickel/Zinc","0","never_researched"
"Incara Company (Zambia) Limited","gemstones","769","1","0","Quartz/Tourmaline/Gold","1","never_researched"
"Mon Fuel and Oil Investment","critical_battery","767","1","0","Manganese/Limestone (General)/Zinc","1","never_researched"
"Artificial Intelligent Product Limited","gemstones","766","2","2","Quartz/Manganese/Lead","1","researched_no_channel"
"LENTASIM LOGISTICS LIMITED","gemstones","766","1","0","Copper/Gold/Aquamarine","1","researched_no_channel"
"Damayacha Mining Limited","gemstones","765","1","0","Tantalum/Tourmaline/Quartz","0","researched_no_channel"
"VALZ MINERALS LIMITED COMPANY","gemstones","765","1","0","Gold/Iron Ore/Manganese","0","never_researched"
"Kapsims Mining Company Limited","critical_battery","763","1","0","Manganese/Silver/Zinc","0","never_researched"
"Shachizulu Enterprise Limited","gemstones","762","1","0","Nickel/Manganese/Tourmaline","1","never_researched"
"Cheban Mining Limited","gold","761","1","0","Palladium/Silver/Gold","1","never_researched"
"Roseberry Stone & Tile Limited","construction_materials","754","2","2","Stone","2","researched_no_channel"
"Praja Minerals Zambia Limited","gold","754","1","0","Gold/Silver/Cobalt","0","researched_no_channel"
"Array Metals And Natural Resources Limited","gold","753","3","3","Gold/Copper","3","researched_no_channel"
"PCB Mining Limited","critical_battery","751","2","1","Manganese/Lead/Zinc","2","researched_no_channel"
"Lwimbo Copper Mine Limited","gold","750","2","2","Copper/Cobalt/Silver","2","researched_no_channel"
"Naoje Boarder World Zambia Limited","critical_battery","749","1","0","Quartz/Rare EarthsElements/Nickel","1","never_researched"
"Frichyl General Dealers Limited","construction_materials","747","1","0","Granite","1","researched_no_channel"
"Unirite Investments Limited","critical_battery","747","1","0","Manganese/Quartz/Iron Ore","1","never_researched"
"Samstone crushing limited","gold","747","1","0","Lead/Limestone (General)/Uranium","1","never_researched"
"AgenaCorp Zambia Ltd","critical_battery","745","1","0","Silver/Tantalum/Palladium","1","never_researched"
"Jejeva Logistics Limited","gemstones","744","1","0","Manganese/Iron Ore/Silver","1","never_researched"
"Ruida Investments Limited","base_metals","743","1","1","Copper","1","researched_no_channel"
"Chozi Mining Limited","gemstones","736","2","2","Gold/Quartz/Aquamarine","1","researched_no_channel"
"Polar Petroleum Limited","critical_battery","735","1","0","Nickel/Manganese/Silver","0","researched_no_channel"
"Roan Mineral Resources Company Ltd","critical_battery","731","1","0","Nickel/Manganese/Zinc","1","researched_no_channel"
"Front Runners Solutions Limited","critical_battery","730","1","0","Platinum/Manganese/Tantalum","0","researched_no_channel"
"Purple Pegmine Limited","gemstones","723","2","2","Quartz/Silica/Tourmaline","1","researched_no_channel"
"WI-PAY FINANCE LIMITED","gemstones","719","1","0","Gravel/Fluorine-Fluorite/Limestone (General)","0","never_researched"
"Octane Investments Limited","gemstones","718","1","0","Gold/Tourmaline/Aquamarine","1","never_researched"
"STC Transport and Farming Limited","critical_battery","712","1","0","Iron Ore/Manganese/Gold","1","never_researched"
"MJK Resources Zambia Limited","critical_battery","711","2","0","Lithium/Manganese/Gold","1","never_researched"
"Aore Vein Minerals Limited","gemstones","707","1","0","Precious Gems/Platinum Group Metals/Palladium","0","researched_no_channel"
"Gracegem Mining Limited","gemstones","706","2","2","Emerald/Beryllium","0","researched_no_channel"
