"segment","holder","licenses","mining_lics","hectares","main_commodities","lics_in_default_2025","lics_cancelled_2024"
"critical_battery","KELINK GENERAL DEALERS LIMITED","1","0","11881","Sugilite/Silver/Titanium","1","0"
"critical_battery","Koeshma Business Ventures LTD","1","0","524","Rare EarthsElements/Silica/Silver","0","0"
"critical_battery","Krisos Manufacturing Limited","1","0","5277","Manganese/Zinc/Cobalt","1","0"
"critical_battery","Leza Njavwa Resources Company Limited","4","0","10572","Manganese/Copper/Silver","4","0"
"critical_battery","Litinta Resources Limited","2","0","12237","Copper/Cobalt/Manganese","0","0"
"critical_battery","Lorella Products Limited","1","0","1800","Granite/Manganese/Silver","1","0"
"critical_battery","LSL CONSULTANCY & INVESTMENT LIMITED","1","0","111","Quartz/Nickel/Zinc","1","0"
"critical_battery","Lukalia Mining Co-operative Society Limited","1","1","7","Manganese/Sand/Sugilite","1","0"
"critical_battery","Lying Dragon Investment Company Limited","1","0","23614","Manganese/Zinc/Gold","0","0"
"critical_battery","Mafota Minerals and Mines Limited","1","0","949","Manganese/Gold/Copper","1","1"
"critical_battery","Makgowan Resources Limited","2","0","1057","Granite/Iron Ore/Manganese","0","0"
"critical_battery","Malota Multpurpose Cooperative Society Limited","1","1","7","Limestone (General)/Lead/Zinc","1","0"
"critical_battery","Masccor Construction And Plant Limited","1","0","27481","Manganese/Silver/Copper","1","0"
"critical_battery","Mazalazambwe Multi-purpose Co-operative Society Limited","1","1","7","Iron Ore/Lead/Nickel","0","0"
"critical_battery","Mechross enterprises limited","1","0","133","Manganese/Lead/Zinc","1","0"
"critical_battery","Mijeko Mining Limited","2","0","4729","Manganese/Nickel/Iron Ore","0","0"
"critical_battery","Mise Mining Limited","1","0","973","Anhydrite/Iron Ore/Rare EarthsElements","1","0"
"critical_battery","Mobile Shaft Metals Limited","2","0","1661","Iron Ore/Anhydrite/Manganese","2","1"
"critical_battery","Mokha Investment Zambia Limited","1","0","517","Manganese/Iron Ore/Silver","1","0"
"critical_battery","Mublecha Enteprises Limited","1","0","989","Manganese/Zinc/Gold","1","0"
"critical_battery","Mugla Mining Investment Zambia Limited","1","0","842","Lead/Manganese/Zinc","1","1"
"critical_battery","Munalu Small Scale Mining Co-operative Society Limited","1","1","7","Tantalum/Tin/Tungsten","1","0"
"critical_battery","Musulumba Investments Limited","2","0","11398","Gold/Copper/Iron Ore","2","0"
"critical_battery","Mutane Akose Mining Coorperative Society Limited","1","1","7","Manganese/Sand/Silica","1","0"
"critical_battery","Mwashia Resources Limited","1","0","3573","Manganese/Nickel/Zinc","1","0"
"critical_battery","N.I.C Investments Limited","1","0","77332","Nickel/Uranium/Zinc","1","1"
"critical_battery","Naneson Enterprise Limited","1","0","2489","Manganese/Lead/Nickel","1","0"
"critical_battery","Nebula Mining Limited","1","0","878","Manganese/Quartz/Copper","0","0"
"critical_battery","Nguzu Mining Limited","1","0","3228","Manganese/Silver/Zinc","1","0"
"critical_battery","Nisco Industries Limited","1","0","46167","Lead/Tungsten/Bismuth","1","0"
"critical_battery","Nordic Mineral Traders Limited","1","1","13","Manganese/Zinc/Cobalt","1","0"
"critical_battery","NUBIACREEK RESOURCES LIMITED","2","0","3393","Gold/Quartz/Cobalt","1","0"
"critical_battery","Nyengo Resources Limited","3","0","174","Iron Ore/Fluorine-Fluorite/Coal","0","0"
"critical_battery","P & C PRACH INVESTMENTS ZAMBIA LIMITED","1","0","48014","Iron Ore/Manganese/Zinc","0","0"
"critical_battery","Polar Petroleum Limited","1","0","735","Nickel/Manganese/Silver","0","0"
"critical_battery","Prolight Investment Limited","1","0","135","Silver/Manganese/Zinc","1","0"
"critical_battery","RHEMA MINING COOPERATIVE SOCIETY LIMITED","1","1","7","Malachite/Lead/Zinc","0","0"
"critical_battery","Rising Resources Limited","1","0","146752","Quartz/Manganese/Sand","0","0"
"critical_battery","Roan Mineral Resources Company Ltd","1","0","731","Nickel/Manganese/Zinc","1","1"
"critical_battery","Rochris Investments Limited","1","0","6169","Manganese/Lithium/Platinum Group Metals","0","0"
"critical_battery","Royal Chamuka Mining Limited","1","0","1815","Silver/Manganese/Zinc","0","1"
"critical_battery","Sajakle Resources Limited","1","0","293","Iron Ore/Manganese/Copper","1","0"
"critical_battery","SANDSTONE PROJECTS LIMITED","1","0","178","Manganese/Silver/Zinc","0","0"
"critical_battery","Serenje Ferro Alloys Limited","1","1","20","Manganese/Iron Ore","1","0"
"critical_battery","Shimumu Investment Limited","2","0","988","Quartz/Zinc/Manganese","2","0"
"critical_battery","Shindumba Mining Limited","1","0","63901","Nickel/Silver/Zinc","0","0"
"critical_battery","SJ KINGDOM METALS LIMITED","1","0","8152","Manganese/Limestone (General)/Silver","0","0"
"critical_battery","Stewes Mineral Resources Limited","1","0","5227","Lithium/Manganese/Gold","0","0"
"critical_battery","Sudha Mining Resources Zambia Limited","1","0","12542","Manganese/Limestone (General)/Sand","0","0"
"critical_battery","Sun Park Development Limited","1","0","9351","Tin/Zinc/Silver","0","0"
"critical_battery","Sunflower Resources Limited","1","0","4728","Nickel/Manganese/Zinc","1","0"
"critical_battery","Supix Minerals Limited","1","0","2557","Lead/Manganese/Zinc","0","0"
"critical_battery","Topglory Mining Company Limited","1","1","27","Manganese","1","1"
"critical_battery","TUGWASHANE MINING LIMITED","2","0","12145","Copper/Coal/Zinc","0","0"
"critical_battery","Tumbo Mining And Exploration Limited","1","0","10704","Silver/Platinum/Tin","0","0"
"critical_battery","Twaima Youth Muilti Purpose Co-operative","1","1","7","Manganese","1","0"
"critical_battery","Ubuntu Small Scale Mining Company Limited","1","0","905","Quartz/Nickel/Zinc","0","0"
"critical_battery","Veridical Integrity Limited","1","0","980","Manganese/Quartz/Silver","1","1"
"critical_battery","Vinmic Investments Limited","1","0","24528","Iron Ore/Nickel/Silver","1","0"
"critical_battery","White Rock Marketing Limited","4","0","1640","Zinc/Manganese/Nickel","3","0"
"critical_battery","Woodpeckers Mining Company Limited","1","0","2884","Iron Ore/Limestone (General)/Titanium","1","0"
"critical_battery","ZDP Mineral Resources Limited","1","0","480","Lead/Manganese/Gold","1","1"
"critical_battery","Zincom Mineral Resources Limited","2","0","706","Manganese/Lead/Zinc","1","0"
"critical_battery","Zuri Mineral Resources Limited","1","0","3735","Nickel/Silver/Zinc","0","0"
"energy_minerals","Grand Prosperous Company Limited","1","0","2436","Lead/Anhydrite/Quartz","0","0"
"energy_minerals","Lukamantano Energy Company Limited","1","0","13407","Iron Ore/Lead/Zinc","0","0"
"energy_minerals","Muchaba Enterprises Company Limited","2","0","956","Limestone (General)/Sand/Molding","1","0"
"energy_minerals","Mwabombeni Resources Limited","1","0","72","Fluorine-Fluorite/Iron Ore/Feldspar","0","0"
"energy_minerals","Shimabu Mining Limited","1","0","3653","Coal","0","0"
"energy_minerals","Top Feng Investments Limited","1","0","150","Coal","0","0"
"gemstones","A.L. IMPORTERS AND EXPORTERS LIMITED","1","0","95","Manganese/Malachite/Limestone (General)","0","0"
"gemstones","AFRICA BASE METALS HOLDING LIMITED","1","0","8241","Mineral Sands/Nickel/Manganese","0","0"
"gemstones","Afritrans Global Investments Limited","1","0","969","Lead/Iron Ore/Zinc","0","1"
"gemstones","Alfmega Solutions Limited","1","0","4559","Diamond/Gold/Cobalt","1","0"
"gemstones","Aore Vein Minerals Limited","1","0","707","Precious Gems/Platinum Group Metals/Palladium","0","0"
"gemstones","Ashira Mining Limited","1","0","72","Gold/Emerald/Silver","1","0"
"gemstones","BASE METAL EXPLORATION CONSULTANCY LIMITED","1","0","3537","Quartz/Manganese/Sugilite","0","0"
"gemstones","Betamin Investments Limited","2","0","3056","Talc-Soapstone/Granite/Limestone (General)","1","0"
"gemstones","Blaze Metals Resources Limited","1","0","17671","Rare EarthsElements/Manganese/Zinc","0","0"
"gemstones","Bright Sky Mining Limited","1","0","949","Manganese/Malachite/Limestone (General)","0","0"
"gemstones","Butemwe Mulutula Investments Limited","1","0","303","Manganese/Lithium/Granite","1","0"
"gemstones","CENTICUS ENERGY LIMITED","1","0","17903","Nickel/Manganese/Quartz","0","0"
"gemstones","Chibaris International(Zambia)Limited","1","0","1776","Rare EarthsElements/Niobium (Columbium)/Nickel","1","0"
"gemstones","Chibulu Tulipamo Mining Co-operative Society Limited","1","1","7","Manganese/Zinc/Gold","1","0"
"gemstones","Chitunda agencies Limited","1","0","441","Garnet","0","0"
