"holder","licenses","mining_lics","hectares","main_commodities","score"
"Deacons Mines Limited","5","1","4145","Copper/Gold/Iron Ore","11.6175574436266"
"Nyami Resources Limited","4","1","27472","Gold/Copper/Cobalt","11.4388948828442"
"Ferro Alloys Corporation Limited","4","1","27414","Manganese/Copper/Lead","11.4379724480445"
"Mulopwe Metals Mining Limited","2","2","2176","Gold/Copper/Lead","11.3376375749467"
"Newmont Industries Limited","5","1","2100","Limestone (General)/Marble/Granite","11.3221520566073"
"Orein Resources Limited","4","1","19306","Gold/Copper/Zinc","11.2857022941565"
"Tiger Zambezi Investment Limited","4","1","16484","Gold/Copper/Nickel","11.2170718270037"
"Tuzikeni Mining and Construction Company Limited","6","0","154746","Cobalt/Copper/Zinc","11.1896206532282"
"Amizo Power Engineers Limited","4","1","13902","Copper/Manganese/Iron Ore","11.1430918197686"
"Tawakkal Gems Investments Co. Limited","4","1","11423","Copper/Gold/Zinc","11.057762208501"
"Safearth Mining Limited","4","1","10647","Manganese/Copper/Iron Ore","11.0272245618981"
"Truestone Mineral Processing Limited","4","1","10034","Lead/Manganese/Zinc","11.0014590861347"
"Southern African Rare Metals Mining Company Limited","3","1","94518","Tantalum/Tin/Rare EarthsElements","10.9755133452734"
"Huacheng Calcium Industry Limited","3","2","92","Limestone (General)","10.9654994412026"
"Grizzly Mining Limited","2","2","841","Emerald/Beryllium","10.925029501852"
"Butala Capital Company Limited","3","1","81895","Zinc/Lead/Copper","10.9132599093767"
"Keda Zambia Ceramics Company Limited","4","1","8111","Limestone (General)/Talc-Soapstone/Clay (General)","10.9090589162322"
"Workman Construction Zambia Limited","2","2","799","Palladium/Manganese/Zinc","10.9024477880266"
"Lunda Resources Limited","2","2","796","Gold/Silver/Cobalt","10.9010268641704"
"Aabrick Zambia Limited","2","2","795","Clay (General)","10.9003930762938"
"Eagle Line Investment Limited","2","2","795","Gold/Copper/Cobalt","10.9001225984685"
"Buccha Minerals Quest Limited","6","0","78831","Copper/Gold/Iron Ore","10.8966946668262"
"Dalobelt Zambia Limited","2","2","787","Lead/Manganese/Zinc","10.8961502909037"
"Mufwashi Mining and Resources Limited","2","2","779","Manganese/Iron Ore/Silver","10.8913143993821"
"Mbeze Resources Limited","5","0","776994","Lead/Gold/Molybdenum","10.8904174262708"
