"holder","declared_business","business_class","name_contradicts_declaration","entity_number","registration_date","hectares","licenses","mining_lics","main_commodities","beneficial_owner_declared","annual_return_filed","lics_in_default_2025"
"BERECHIT RESOURCES LIMITED","Other mining and quarrying n.e.c.","mining_related","no","120241006059","03/05/2024","76343","2","0","Iron Ore/Zinc/Gold","1","0","0"
"Exoryxi Mining Limited","Other mining and quarrying n.e.c.","mining_related","no","120241003109","28/02/2024","75665","5","0","Gold/Copper/Cobalt","1","0","2"
"Pegma Mining Limited","Other mining and quarrying n.e.c.","mining_related","no","120220043395","16/12/2022","75010","4","0","Iron Ore/Zinc/Nickel","0","0","1"
"Nile Minerals Limited","Manufacture of basic precious and other non-ferrous metals","mining_related","no","120220032224","03/05/2022","74613","4","0","Manganese/Copper/Zinc","1","1","0"
"Copper Anode Zambia Limited","Mining of other non-ferrous metal ores","mining_related","no","120230061269","19/12/2023","74550","4","0","Lead/Zinc/Gold","1","1","0"
"Karamay Investment Company Limited","Mining of other non-ferrous metal ores","mining_related","no","120210015040","16/04/2021","74530","1","0","Quartz/Platinum/Niobium (Columbium)","1","1","0"
"CAMCO EQUIPMENT (ZAMBIA) LIMITED","Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores","mining_related","no","119980040840","16/06/1998","74514","2","0","Manganese/Rare EarthsElements/Zinc","0","1","1"
"SIBRU MINING INVESTMENTS LIMITED","Other mining and quarrying n.e.c.","mining_related","no","120241014167","12/10/2024","72300","4","0","Nickel/Silver/Zinc","1","0","0"
"Senke Investment Limited","Support activities for other mining and quarrying","mining_related","no","120200008308","01/10/2020","71981","6","0","Copper/Kaolin/Feldspar","1","0","1"
"Magna Mining Limited","Mining of other non-ferrous metal ores","mining_related","no","120170001553","24/02/2017","71697","5","0","Copper/Gold/Manganese","1","1","0"
"Avocado Mining Limited","Mining of hard coal","mining_related","no","120160004715","01/07/2016","69764","5","1","Copper/Gold/Iron Ore","0","0","5"
"pumbaa ventures limited","Mining of other non-ferrous metal ores","mining_related","no","120241002210","14/02/2024","68971","2","0","Iron Ore/Copper/Cobalt","1","0","2"
"Pacific Minerals Limited","Manufacture of basic precious and other non-ferrous metals","mining_related","no","120220032282","04/05/2022","68628","4","0","Niobium (Columbium)/Gold/Copper","1","1","0"
"Muvalu Mining Company Limited","Mining of other non-ferrous metal ores","mining_related","no","120230046280","17/02/2023","68627","1","0","Copper","1","0","1"
"Hidden Treasures Mining Limited","Mining of other non-ferrous metal ores","mining_related","no","120200006058","04/08/2020","67979","4","0","Quartz/Copper/Gold","1","0","3"
"STRAMIN AFRICA ZAMBIA LIMITED","Support activities for other mining and quarrying","mining_related","no","120241009168","28/06/2024","67104","1","0","Rare EarthsElements/Quartz/Niobium (Columbium)","1","1","0"
"Liuris Resources Limited","Mining of other non-ferrous metal ores","mining_related","no","120230052797","29/06/2023","66988","2","0","Manganese/Malachite/Zinc","1","0","0"
"BLACK TIGER MINING LIMITED","Other mining and quarrying n.e.c.","mining_related","no","120230060339","28/11/2023","66417","3","0","Gold/Nickel/Cobalt","1","0","2"
"Nalukui Investments  Limited","Mining of other non-ferrous metal ores","mining_related","no","120170009888","20/12/2017","66132","2","0","Lead/Palladium/Platinum","0","0","0"
"Vienco Industries Limited","Manufacture of basic precious and other non-ferrous metals","mining_related","no","120220037782","18/08/2022","65817","3","0","Copper/Gold/Silver","1","0","1"
"ATL Exploration and Mining Limited","Other mining and quarrying n.e.c.","mining_related","no","120241008318","12/06/2024","64429","3","0","Nickel/Manganese/Malachite","1","0","0"
"Shindumba Mining Limited","Mining of other non-ferrous metal ores","mining_related","no","120220027008","21/01/2022","63901","1","0","Nickel/Silver/Zinc","1","1","0"
"Guohua Mining Company Limited","Support activities for other mining and quarrying","mining_related","no","120241008081","10/06/2024","63837","4","0","Emerald/Gold/Nickel","1","0","3"
"Jingdao Mining Limited","Other mining and quarrying n.e.c.","mining_related","no","120241012080","31/08/2024","62433","5","0","Copper/Manganese/Cobalt","1","0","0"
"Droplex Industrial System Limited","Other retail sale not in stores, stalls or markets","mining_related","no","120110096511","20/10/2011","62193","2","0","Manganese/Tin/Lithium","0","0","1"
"Wealthfields Minerals And Metals Limited","Mining of other non-ferrous metal ores","mining_related","no","120230045428","01/02/2023","62144","3","0","Iron Ore/Manganese/Silver","1","0","3"
"Hadaean Minerals Limited","Mining of other non-ferrous metal ores","mining_related","no","120230047950","20/03/2023","61665","2","0","Iron Ore/Gold/Niobium (Columbium)","1","0","1"
"Ulubwe Mining Limited","Mining of other non-ferrous metal ores","mining_related","no","120230053756","20/07/2023","60417","5","1","Gold/Copper/Zinc","1","0","1"
"Achilles Mining Limited","Other mining and quarrying n.e.c.","mining_related","no","120190003245","25/04/2019","60231","3","0","Silver/Manganese/Platinum","1","1","1"
"Mount Putuo Copper Mine Limited","Other mining and quarrying n.e.c.","mining_related","no","120241013094","21/09/2024","59237","4","0","Lead/Gold/Silver","1","0","0"
"SHINETH RESOURCE MINING LIMITED","Mining of other non-ferrous metal ores","mining_related","no","120230060122","23/11/2023","57617","3","0","Malachite/Gold/Copper","1","0","0"
"Lusasha Mining and Contractors Limited","Support activities for other mining and quarrying","mining_related","no","120180005546","04/07/2018","57465","1","0","Quartz/Manganese/Zinc","0","0","1"
"Hongyida Investment Limited","Other mining and quarrying n.e.c.","mining_related","no","120210014471","31/03/2021","56652","5","0","Copper/Silver/Zinc","1","1","2"
"Zambian Anglo Copper Limited","Other mining and quarrying n.e.c.","mining_related","no","120230054667","09/08/2023","56648","6","0","Gold/Copper/Cobalt","1","1","3"
"Kambole Minerals Limited","Other mining and quarrying n.e.c.","mining_related","no","120220041090","27/10/2022","54982","2","0","Dolomite/Zinc/Nickel","1","1","1"
"Fort Jameson Gold Fields Limited","Mining of iron ores","mining_related","no","120160006497","15/09/2016","54790","2","0","Iron Ore/Lead/Zinc","0","1","1"
"JP MINERAL AND REFINERY LIMITED","Mining of other non-ferrous metal ores","mining_related","no","120241010672","02/08/2024","54672","3","0","Silver/Gypsum/Graphite","1","0","0"
"Moxico Resources Zambia Limited","Other mining and quarrying n.e.c.","mining_related","no","120150131669","22/04/2015","54121","2","0","Gold/Copper/Cobalt","0","1","0"
"Zammao Mining Investment Company Limited","Mining of other non-ferrous metal ores","mining_related","no","120230045826","08/02/2023","53947","3","0","Copper/Manganese/Gold","1","0","2"
"Black Dolphin Natural Resources Limited","Other mining and quarrying n.e.c.","mining_related","no","120220026967","21/01/2022","53694","4","0","Iron Ore/Manganese/Copper","1","0","3"
"Amabwe Mineral Ventures Limited","Other mining and quarrying n.e.c.","mining_related","no","120220043582","22/12/2022","53280","3","0","Silver/Emerald/Nickel","1","0","0"
