"query_holder","segment","entity_name","entity_number","registration_date","nature_of_business","entity_status","company_type","isic_classification","exact_name_match","annual_return_filed","beneficial_owner_declared","nominal_capital_ok","annual_return_reason","beneficial_owner_reason","nominal_capital_reason"
"Butemwe Farming Services Limited","gold","BUTEMWE FARMING SERVICES LIMITED","120170002862","07/04/2017","Raising of cattle and buffaloes","Active","Local Company - Limited by Shares","0141. Raising of cattle and buffaloes","True","1","0","0","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 01/01/2027. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Butemwe Mulutula Investments Limited","gemstones","BUTEMWE MULUTULA INVESTMENTS LIMITED","120220042312","22/11/2022","Other mining and quarrying n.e.c.","Active","Local Company - Limited by Shares","0899. Other mining and quarrying n.e.c.","True","0","1","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 22/11/2023. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"BUterla Investment Holdings Limited","gold","BUTERLA INVESTMENT HOLDINGS LIMITED","120230054430","03/08/2023","Management consultancy activities","Active","Local Company - Limited by Shares","7020. Management consultancy activities","True","0","1","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 28/06/2025. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"BUTTERFLY COPPER MINING LIMITED","gemstones","BUTTERFLY COPPER MINING LIMITED","120230060399","29/11/2023","Other mining and quarrying n.e.c.","Active","Local Company - Limited by Shares","0899. Other mining and quarrying n.e.c.","True","0","1","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 27/11/2024. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Buyaco Intergrated Limited","base_metals","BUYACO INTERGRATED LIMITED","120170002603","31/03/2017","Other human health activities","Active","Local Company - Limited by Shares","8690. Other human health activities","True","0","0","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 31/03/2023. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Bwamu Mining Company Limited","gemstones","BWAMU MINING COMPANY LIMITED","120170008789","13/11/2017","Mining of other non-ferrous metal ores","Active","Local Company - Limited by Shares","0729. Mining of other non-ferrous metal ores","True","0","0","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 31/12/2024. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal capital is within the legal limit."
"Bwana Mdogo Exploration and Mining Company Limited","critical_battery","BWANA MDOGO EXPLORATION AND MINING COMPANY LIMITED","120230046030","13/02/2023","Mining of other non-ferrous metal ores","Active","Local Company - Limited by Shares","0729. Mining of other non-ferrous metal ores","True","1","1","0","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 31/12/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Bwesu Ubunonshi Multi-Purpose Cooperative Society Limited","critical_battery","","","","","NO_REGISTRY_MATCH","","","False","","","","","",""
"Bwesu Ubunoshi Multipurpose Cooperative Society","critical_battery","","","","","NO_REGISTRY_MATCH","","","False","","","","","",""
"Bwigem Mining Limited","gemstones","BWIGEM MINING LIMITED","120060064720","20/12/2006","Support activities for other mining and quarrying","Active","Local Company - Limited by Shares","0990. Support activities for other mining and quarrying","True","0","0","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 20/12/2025. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal capital is within the legal limit."
"Bwino Mining Limited","gemstones","BWINO MINING LIMITED","120241006972","18/05/2024","Support activities for other mining and quarrying","Active","Local Company - Limited by Shares","0990. Support activities for other mining and quarrying","True","0","1","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 16/05/2025. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Cabral Mining Minerals Limited","critical_battery","CABRAL MINING MINERALS LIMITED","120200001044","05/02/2020","Mining of other non-ferrous metal ores","Active","Local Company - Limited by Shares","0729. Mining of other non-ferrous metal ores","True","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 31/12/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Caingu Gem Mines Lapidary Limited","gemstones","CAINGU GEM MINES LAPIDARY LIMITED","120080071148","18/02/2008","Support activities for other mining and quarrying","Active","Local Company - Limited by Shares","0990. Support activities for other mining and quarrying","True","1","0","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 01/04/2027. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal capital is within the legal limit."
"Cales Investment Limited","critical_battery","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","True","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]"
