"commodity","hs_code","year","volume","unit","value_usd","value_zmw","customs_transactions","source"
"MANGANESE ORES/CONCENTRATES(INC.FERRUGINOUS), WITH MANGANESE CONT.OF=>20%",,"2024","278046.69","Dry metric tonnes","12465510.01",,"67","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Zincite, zinc oxide ores",,"2024","21728","Dry metric tonnes","11577342.85",,"12","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Aluminium alloys, unwrought",,"2024","4148","Metric ton (1000 kg)","10294577.96",,"7","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Copper blister (unrefined copper, not anodes for electrolytic refining)",,"2024","1170","Metric ton (1000 kg)","10023810.28",,"4","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Unroasted iron pyrite ore",,"2024","23000","Dry metric tonnes","9587398.2",,"3","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Zincite, zinc oxide concentrates",,"2024","8500","Metric ton (1000 kg)","9253130.05",,"4","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Niobium, tantalum and vanadium ores and concentrates",,"2024","235","Dry metric tonnes","8522439.56",,"4","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Copper ore, Oxide",,"2024","20113.4","Metric ton (1000 kg)","8274159.66",,"14","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Copper concentrate, Mixed sulphide and oxide",,"2024","3900","Metric ton (1000 kg)","8256388.29",,"3","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Unroasted iron pyrite concentrate",,"2024","38000","Metric ton (1000 kg)","8156881.3",,"3","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
